golden_id,event_type,firm_name,firm_canonical,has_crd,lead_first,lead_last,team_name_current,team_name_prior,street,city,state,zip_
0,MEMBER_CHANGE,Kingsbridge Capital Advisors,kingsbridge,False,Karen,Nguyen,Johnson Investment Partners,Johnson Investment Partners,4112 Lake Blvd,Philadelphia,PA,19101
1,MEMBER_CHANGE,Ridgeway Wealth Management,ridgeway,False,Mark,Garcia,Garcia Wealth Management,Garcia Wealth Management,7012 Oak St,Phoenix,AZ,85001
2,MEMBER_CHANGE,Edward Jones,edward_jones,True,James,Roberts,Rivera Portfolio Group,Rivera Portfolio Group,534 Central Dr,Tampa,FL,33601
3,MEMBER_CHANGE,Cetera Financial Group,cetera,True,John,Moore,Adams Portfolio Group,Adams Portfolio Group,4657 Main Blvd,Milwaukee,WI,53201
4,MEMBER_CHANGE,Oppenheimer & Co.,oppenheimer,True,Robert,King,Moore Advisory Group,Moore Advisory Group,5614 Cedar Ave,Las Vegas,NV,89101
5,MEMBER_CHANGE,Wells Fargo Advisors,wells_fargo,True,David,Martin,Zhang Capital Group,Zhang Capital Group,9991 Hill St,Kansas City,MO,64101
6,SPLIT_PARENT,Securities America,securities_america,True,Joseph,Kim,Kim Asset Management Group,Kim Asset Management Group,1391 Central Rd,Richmond,VA,23219
7,RENAME,Highfield Asset Management,highfield,False,Karen,Roberts,Roberts & Miller Partners,Roberts Advisors,1239 Oak Dr,Seattle,WA,98101
8,MEMBER_CHANGE,Merrill Lynch Pierce Fenner & Smith,merrill_lynch,True,Steven,Zhang,Huang Private Wealth Group,Huang Private Wealth Group,6327 Hill Way,Louisville,KY,40201
9,MEMBER_CHANGE,LPL Financial,lpl_financial,True,Rachel,Phillips,Scott Advisory Group,Scott Advisory Group,4474 Liberty Ave,St. Louis,MO,63101
10,MEMBER_CHANGE,Kingsbridge Capital Advisors,kingsbridge,False,Kenneth,Liu,Mitchell Advisors,Mitchell Advisors,2777 Jefferson Ln,San Francisco,CA,94101
11,MEMBER_CHANGE,Parkside Wealth Strategies,parkside,False,Betty,Edwards,White Private Wealth,White Private Wealth,1016 Lake St,Nashville,TN,37201
12,RENAME,DA Davidson & Co.,da_davidson,True,Paul,Jones,Jones & Associates,Jones Advisory Group,9392 Liberty Pl,Fort Worth,TX,76101
13,RENAME,Kingsbridge Capital Advisors,kingsbridge,False,Linda,Hill,Hill & Associates,Hill Capital Partners,2440 Hill Blvd,Charlotte,NC,28201
14,MEMBER_CHANGE,Crestwood Family Office,crestwood,False,Steven,Roberts,Mitchell Investment Partners,Mitchell Investment Partners,9677 Madison Pkwy,Memphis,TN,38101
15,MEMBER_CHANGE,Hilliard Lyons,hilliard_lyons,True,Michael,Parker,Wilson Wealth Advisors,Wilson Wealth Advisors,8185 Maple St,San Antonio,TX,78201
16,MERGE_SURVIVOR,Raymond James Financial Services,raymond_james,True,Christopher,Patel,Patel Institutional Group,Patel Institutional Group,7016 Broad Ave,Las Vegas,NV,89101
17,RENAME,DA Davidson & Co.,da_davidson,True,Megan,Nelson,Nelson Wealth Management Group,Nelson Wealth Advisors,4219 Central St,San Antonio,TX,78201
18,SPLIT_PARENT,Ridgeway Wealth Management,ridgeway,False,Jessica,Morris,Morris Investment Partners,Morris Investment Partners,5673 Cedar Rd,Milwaukee,WI,53201
19,MEMBER_CHANGE,LPL Financial,lpl_financial,True,Richard,Wright,Smith Family Wealth Group,Smith Family Wealth Group,4415 Market Blvd,Miami,FL,33101
20,MEMBER_CHANGE,Parkside Wealth Strategies,parkside,False,Anthony,Anderson,Huang Investment Partners,Huang Investment Partners,8417 Broad Dr,Dallas,TX,75201
21,SPLIT_PARENT,Hilliard Lyons,hilliard_lyons,True,Christopher,Mitchell,Mitchell Wealth Advisors,Mitchell Wealth Advisors,109 Broad Pl,Minneapolis,MN,55401
22,MERGE_TARGET,Morgan Stanley Wealth Management,morgan_stanley,True,Joseph,Kim,Kim Capital Group,Kim Capital Group,5138 Lake St,Charlotte,NC,28201
23,SPLIT_PARENT,Highfield Asset Management,highfield,False,Emily,Garcia,Garcia Wealth,Garcia Wealth,8062 Maple Court,San Diego,CA,92101
24,MEMBER_CHANGE,Raymond James Financial Services,raymond_james,True,Patricia,Moore,Carter Investment Group,Carter Investment Group,4442 Market Pkwy,Milwaukee,WI,53201
25,RENAME,Edward Jones,edward_jones,True,Jessica,Morris,Morris & Harris Partners,Morris Family Wealth Group,3395 Liberty Rd,Memphis,TN,38101
26,MEMBER_CHANGE,Ridgeway Wealth Management,ridgeway,False,William,Evans,Adams Asset Management,Adams Asset Management,7497 Cedar Dr,Columbus,OH,43201
27,MEMBER_CHANGE,Merrill Lynch Pierce Fenner & Smith,merrill_lynch,True,David,Gomez,Johnson Portfolio Group,Johnson Portfolio Group,9175 Lake Pkwy,Columbus,OH,43201
28,MEMBER_CHANGE,Morgan Stanley Wealth Management,morgan_stanley,True,Charles,Baker,Collins Institutional Group,Collins Institutional Group,1064 Lake Ave,Los Angeles,CA,90001
29,MEMBER_CHANGE,Meridian Private Wealth,meridian_pw,False,Paul,Wilson,Jones Asset Management,Jones Asset Management,3999 Hill Way,Fort Worth,TX,76101
30,SPLIT_PARENT,Securities America,securities_america,True,Thomas,Reyes,Reyes Portfolio Group,Reyes Portfolio Group,9540 Commerce Dr,Raleigh,NC,27601
31,MEMBER_CHANGE,Summit Peak Advisors,summit_peak,False,Lisa,Gomez,Thomas Wealth,Thomas Wealth,1688 Union Ln,Washington,DC,20001
32,MEMBER_CHANGE,Cetera Financial Group,cetera,True,Ashley,Torres,Nelson Family Wealth Group,Nelson Family Wealth Group,987 Union Ave,Chicago,IL,60601
33,MEMBER_CHANGE,DA Davidson & Co.,da_davidson,True,Anthony,Hall,Khan Private Wealth Group,Khan Private Wealth Group,4173 Park Dr,Tampa,FL,33601
34,MEMBER_CHANGE,Ameriprise Financial Services,ameriprise,True,Joseph,Khan,Green Investment Group,Green Investment Group,4663 Jefferson Dr,Houston,TX,77001
35,RENAME,Ameriprise Financial Services,ameriprise,True,Helen,Miller,Miller & Taylor Group,Miller Wealth Management Group,8956 Main Ave,Charlotte,NC,28201
36,MEMBER_CHANGE,LPL Financial,lpl_financial,True,Matthew,Khan,Hall Financial Group,Hall Financial Group,3602 Lincoln St,San Jose,CA,95101
37,RENAME,DA Davidson & Co.,da_davidson,True,James,Nguyen,Nguyen & King Group,Nguyen Wealth Partners,7554 River Ln,Boston,MA,02101
38,RENAME,Ridgeway Wealth Management,ridgeway,False,Linda,Moore,Moore & Morris Partners,Moore Advisors,4961 Park St,Pittsburgh,PA,15201
