team_name,firm_name,lead_name,email,members,address
Johnson Grp,Kingsbridge Capital Advisors,Joe Johnson,,,"4606 Lake Blvd, San Antonio, TX 78201"
Carter Adv Grp,Woodbury Financial Services,Ron Parker,,,"9028 Lake Way, Indianapolis, IN 46201"
Green & Associates,LPL Financial,,ron.green@lpl.com,Ron Green|Rick Scott|Lisa Phillips|Steve Khan|Bob Reyes,"4652 Park Pl, Houston, TX 77001"
Davis Tax & Wlth Grp,Ameriprise Financial Services,,davisj@ampf.com,,"6301 Highland Rd, Los Angeles, CA 90001"
Huang Private Wlth Grp,Merrill Lynch Pierce Fenner & Smith,"Liu, Tom",,Tom Liu|Tony Parker|Paul Edwards|Ed Diaz|Bill Wright|Linda Cruz,
Turner Inv Grp,Merrill Lynch Pierce Fenner & Smith,Nancy Martin,nmartin@ml.com,,
Morgan Ptnrs,Clearwater Capital Group,"Turner, Helen",,,"3852 Oak Pl, Miami, FL 33101"
King Adv Grp,National Planning Holdings,,,,
Green Wlth Mgmt,Crestwood Family Office,,parkerd@crestwoodfo.com,Dorothy Parker|Ryan Brown|Dorothy Lee|Lisa Parker,"6643 Lake Blvd, Austin, TX 78701"
Moore & Associates,Meridian Private Wealth,Ken White,,Ken White|Megan Nelson|Susan Martin|Helen Huang|Jim Cruz,
Cruz Asset Mgmt,Crestwood Family Office,,,,
Rivera Fin Ptnrs,Crestwood Family Office,,,Betty Jackson|Megan Thomas|Jessica Morgan,"3027 Cedar Rd, Denver, CO 80201"
King Fin Grp,Morgan Stanley Wealth Management,Tony Harris,,Tony Harris|Emily Garcia|Rick King|Ron Wilson,
Morris Wlth Adv,Commonwealth Financial Network,Ron Garcia,,Ron Garcia|Tony Kim|Jessica Morris|Jason Edwards|Matt Collins,"2160 Commerce Court, Houston, TX 77001"
& Hall Adv,Janney Montgomery Scott,Betty Parker,betty.parker@janney.com,Betty Parker|Bill Wright|John Gomez,
Gomez Adv Grp,Securities America,Matt Parker,parkerm@secam.com,,
Thompson Institutional Grp,Cambridge Investment Research,,phillipsb@cambridgeinv.com,,"8053 Highland Blvd, Philadelphia, PA 19101"
Scott Family Office,Ridgeway Wealth Management,Don Huang,,,
Tax & Wlth Grp,Ameriprise Financial Services,Sandra Smith,,Sandra Smith|Ryan Zhang|Don Taylor|Ryan Thompson,"1335 Highland Ave, San Francisco, CA 94101"
Yang Ptnrs,Meridian Private Wealth,Betty Yang,,Betty Yang|Andy Green,"2797 Main Ln, Charlotte, NC 28201"
Young Adv Grp,Raymond James Financial Services,"Diaz, Mike",,Mike Diaz|Susan Wright|David Green,"1058 Highland St, Washington, DC 20001"
Wang Wlth Ptnrs,Commonwealth Financial Network,,,,"8801 Oak Court, Phoenix, AZ 85001"
Hill Wlth,Meridian Private Wealth,,robertse@meridianpw.com,Emily Roberts|Rachel Roberts|Susan King|Steve Jackson|Sarah Harris|Steve Hill|Margaret Turner,"9433 Oak Pkwy, San Antonio, TX 78201"
Diaz Adv Grp,Raymond James Financial Services,,,,
Torres Wlth Ptnrs,Merrill Lynch Pierce Fenner & Smith,Megan Wilson,,Megan Wilson|Susan Smith|George Lee|Helen Allen|George Miller|Tom Martin,
& Campbell Adv,Wells Fargo Advisors,,,Jeff Carter|Steve Rivera|Linda Martin|Mike Garcia|Kev Green|Paul Williams|Jim Wright,
Turner & Reyes Ptnrs,Northgate Investment Partners,Tom Turner,turnert@northgateinv.com,,"2747 Jefferson Court, Kansas City, MO 64101"
Carter Inv Grp,Hilliard Lyons,Helen Parker,,Helen Parker|Lisa Jackson,"7141 Oak Rd, Houston, TX 77001"
Parker Wlth,Ridgeway Wealth Management,Ron Carter,ron.carter@ridgewaywm.com,,
Patel Family Office,Parkside Wealth Strategies,Jennifer Patel,,Jennifer Patel|Patricia White,"4165 Washington Ave, San Diego, CA 92101"
Chen Wlth Adv,DA Davidson & Co.,"Thompson, Jason",,,
Green & Associates,Summit Peak Advisors,,,,
Kim Private Client Grp,Morgan Stanley Wealth Management,Susan Kim,skim@morganstanley.com,,"8921 Park Pl, Baltimore, MD 21201"
Young Wlth Adv,DA Davidson & Co.,,,Ron Young|Amanda Roberts,"2185 Madison Ln, Philadelphia, PA 19101"
Allen Wlth Ptnrs,Securities America,Susan Thomas,sthomas@secam.com,Susan Thomas|Tony Rivera|Patricia Patel|Jeff Taylor|George Garcia|Andy Rivera,
Garcia Fin Grp,Woodbury Financial Services,,,Jennifer Garcia|John Williams|Don Baker,
Jones & Kim Grp,Woodbury Financial Services,"Jones, Jacob",,Jacob Jones|Charles Diaz|Ron Smith,"6890 Park Ln, Portland, OR 97201"
Huang Fin Ptnrs,Highfield Asset Management,Lisa Evans,lisa.evans@highfieldam.com,Lisa Evans|Mike Carter|Don Wang|Tom Khan|Dorothy Parker,
Phillips & Associates,Cambridge Investment Research,"Phillips, Helen",phillipsh@cambridgeinv.com,Helen Phillips|Ashley Yang|Chris Stewart|Patricia Adams|Steve Morris|Don Chen,"7351 Market Ln, Las Vegas, NV 89101"
Morgan Fin Ptnrs,Kingsbridge Capital Advisors,,jtorres@kingsbridgecap.com,,"8640 Lake Rd, Seattle, WA 98101"
Collins & Associates,Harborview Private Wealth,"Collins, Charles",,Charles Collins|Mike Jackson|Margaret Nguyen|Jacob Gomez|Ron Johnson,"1152 Madison Pl, Indianapolis, IN 46201"
Roberts Family Office,Meridian Private Wealth,"Moore, Amanda",amanda.moore@meridianpw.com,,
Green Fin Grp,Stifel Nicolaus & Company,Dorothy Phillips,dorothy.phillips@stifel.com,Dorothy Phillips|Tom Evans|Jessica Johnson|Betty Gomez|Emily Parker|Susan Chen|Chris Gomez,"575 Spring Ln, Charlotte, NC 28201"
Asset Mgmt Grp,Morgan Stanley Wealth Management,Karen Evans,,,"2323 Jefferson Blvd, Boston, MA 02101"
Martin Wlth,Northgate Investment Partners,,,Mike Evans|Mark Diaz|Bill Morgan|Brian Williams,"7805 Highland St, New York, NY 10001"
Harris Adv,Northgate Investment Partners,"Harris, John",,,"433 Elm Dr, Las Vegas, NV 89101"
Morgan Cap,Harborview Private Wealth,Joe Davis,,Joe Davis|Rachel Edwards|Kev Harris|Mike Morgan|Kev Huang,
Morgan Wlth Ptnrs,Wells Fargo Advisors,,,Mike Roberts|Jessica Green|George Torres|Tom Liu|David Scott,
Smith & Associates,Kingsbridge Capital Advisors,Jennifer Smith,jsmith@kingsbridgecap.com,,
Morgan Fin Grp,Woodbury Financial Services,,,,"7716 Hill Pl, Indianapolis, IN 46201"
Morris Fin Grp,Ameriprise Financial Services,,,Charles Allen|Dan Hall|Tony Scott|Steve Wright|Barbara Taylor|Jason Diaz,"9436 Lincoln Pl, Las Vegas, NV 89101"
Tax & Wlth Grp,Robert W. Baird & Co.,Barbara Taylor,,Barbara Taylor|Don Reyes|Kev Gomez|Patricia Hall,"4626 Main Court, Nashville, TN 37201"
Carter & Associates,Cetera Financial Group,,,Linda Carter|David Young,"4037 Commerce Way, Atlanta, GA 30301"
Edwards Adv Grp,Stifel Nicolaus & Company,David Young,dyoung@stifel.com,,
Allen Wlth Ptnrs,Ameriprise Financial Services,Karen Reyes,reyesk@ampf.com,,
Phillips Inv Ptnrs,Northgate Investment Partners,Jennifer White,,,
Williams Wlth Mgmt Grp,Raymond James Financial Services,,,,"9166 Elm Way, Dallas, TX 75201"
Turner Institutional Grp,Merrill Lynch Pierce Fenner & Smith,Don Jackson,,,"978 Elm Pkwy, Houston, TX 77001"
Flores Portfolio Grp,Securities America,Rick Johnson,rjohnson@secam.com,,
Private Client Grp,Woodbury Financial Services,,,,"3504 Park Rd, Memphis, TN 38101"
Flores Cap Grp,LPL Financial,Jim Flores,jim.flores@lpl.com,Jim Flores|Andy Edwards|Dorothy Jones|Ed White|Steve Patel|Kev Gomez|George Khan,
Green Wlth,Parkside Wealth Strategies,"Edwards, Rick",rick.edwards@parksidewealth.com,,
King Portfolio Grp,Cetera Financial Group,,,,"4202 Maple Dr, New York, NY 10001"
& Thomas Adv,Commonwealth Financial Network,"Diaz, Susan",,,"4657 Madison Way, Phoenix, AZ 85001"
Hall Wlth Ptnrs,Cetera Financial Group,,lkhan@cetera.com,Linda Khan|Steve King|Joe Morgan|Betty Huang|Mike Torres|Betty Carter,"6661 Highland St, Miami, FL 33101"
Parker Retirement Solutions Grp,Cambridge Investment Research,Susan Edwards,susan.edwards@cambridgeinv.com,,
Thompson Wlth Adv,UBS Financial Services,,,Emily Roberts|Kev Phillips,"2246 River Way, St. Louis, MO 63101"
Asset Mgmt Grp,Securities America,Mark Cruz,,Mark Cruz|Charles Hall|Barbara Collins|Paul Flores|Patricia Baker|Don Nelson|Amanda Gomez|Don Davis,"1627 Cedar Way, San Antonio, TX 78201"
Nguyen Adv Grp,Securities America,Sandra King,,,"9920 Elm Ave, Denver, CO 80201"
Gomez & Associates,Clearwater Capital Group,,,Steve Wilson|Jennifer Carter|Nancy Nelson,
Huang Adv,Parkside Wealth Strategies,,,,"4012 Lincoln Dr, Washington, DC 20001"
Moore Cap Ptnrs,Ridgeway Wealth Management,Nancy Kim,,,
Smith Family Wlth Grp,Cambridge Investment Research,Kev Taylor,ktaylor@cambridgeinv.com,,"2461 Elm Ave, Indianapolis, IN 46201"
Zhang & Associates,Meridian Private Wealth,Sandra Rivera,,Sandra Rivera|Jim Scott|Ron Wilson,"8842 Spring Way, Charlotte, NC 28201"
Tax & Wlth Grp,Stifel Nicolaus & Company,,,Don Thompson|Tim Huang|Rick Adams|Ken Yang|John Williams|Sarah Patel|Karen Turner,"4808 Maple Ln, San Antonio, TX 78201"
Scott Cap Grp,UBS Financial Services,,patricia.lee@ubs.com,,
White & Collins Ptnrs,National Planning Holdings,"White, Charles",,Charles White|Andy Cruz|Jessica Taylor|Bill Adams|Lisa Gomez,"4261 Hill St, San Francisco, CA 94101"
Green Asset Mgmt Grp,Janney Montgomery Scott,Kev Green,,Kev Green|Rick Harris|Nancy Roberts|Lisa Roberts|Andy Edwards,
Chen Wlth Adv,Janney Montgomery Scott,John Chen,,John Chen|Mike Wang|Megan Stewart|Linda Chen|Andy Morgan|Mark Phillips|Lisa White,
Evans & Associates,Kingsbridge Capital Advisors,Matt Evans,matt.evans@kingsbridgecap.com,,
Anderson Adv,Crestwood Family Office,,floresb@crestwoodfo.com,,"2265 Highland Pl, Minneapolis, MN 55401"
Khan Wlth,Meridian Private Wealth,Sandra Martin,martins@meridianpw.com,Sandra Martin|Ed Hill|Helen Torres|David Patel|Betty Smith|Steve Mitchell|Joe Nelson,"7773 Elm Dr, Los Angeles, CA 90001"
Stewart Institutional Grp,Hilliard Lyons,"Flores, Lisa",floresl@hl.com,Lisa Flores|Patricia Johnson,"4395 Lincoln Pl, Washington, DC 20001"
Wang Portfolio Grp,Securities America,Tom Reyes,,,"3726 Maple Way, Memphis, TN 38101"
Davis Private Wlth Grp,Janney Montgomery Scott,John Nelson,jnelson@janney.com,,"3946 Highland Blvd, Portland, OR 97201"
