golden_team_id,team_name,firm_name,crd_number,lead_first_name,lead_last_name,lead_email,lead_phone,city,state,zip,address,aum_millions,num_members
GT0000001,Anderson Private Client Group,Merrill Lynch,2458591,Nancy,Anderson,nanderson@merrlync.com,804-632-1520,Phoenix,AZ,85001,"489 Pine Dr, Suite 2565, Phoenix, AZ, 85001",339.8,2
GT0000002,The Sanchez Capital Group,Steward Partners,5667265,Susan,Sanchez,ssanchez@stewpart.com,206-977-3615,Las Vegas,NV,89101,"6925 River Ln, Suite 3227, Las Vegas, NV, 89101",1689.3,4
GT0000003,Lopez Wealth Management Team,Piper Sandler,8707870,Richard,Lopez,rlopez@pipesand.com,749-327-7201,Pittsburgh,PA,15201,"1292 Commerce Ln, Pittsburgh, PA, 15201",43.3,6
GT0000004,The Campbell Private Wealth Group,Dynasty Financial Partners,4823498,Sharon,Campbell,scampbell@dynapart.com,496-281-4814,Los Angeles,CA,90001,"1655 Madison Ln, Suite 3516, Los Angeles, CA, 90001",65.3,4
GT0000005,Mitchell Private Wealth Group,Janney Montgomery Scott,5107245,Christopher,Mitchell,cmitchell@jannmontsc.com,367-673-7216,Chicago,IL,60601,"4423 Liberty Ct, Suite 1428, Chicago, IL, 60601",138.5,2
GT0000006,Jones Capital Group,Baird,4539704,Mark,Jones,mjones@bair.com,780-935-6155,Chicago,IL,60601,"3484 Liberty Pl, Suite 3845, Chicago, IL, 60601",153.6,5
GT0000007,King Private Wealth Group,Raymond James,7073292,Charles,King,cking@raymjame.com,424-341-9348,Salt Lake City,UT,84101,"8086 Pine St, Salt Lake City, UT, 84101",58.5,3
GT0000008,The Lee Financial Group,Oppenheimer & Co,7402509,Nancy,Lee,nlee@oppe.com,810-679-9669,Orlando,FL,32801,"4120 Commerce St, Orlando, FL, 32801",488.0,2
GT0000009,Howard Asset Management Group,Ameriprise Financial,1054447,Sandra,Howard,showard@amer.com,939-936-5315,Dallas,TX,75201,"8202 Elm Ct, Dallas, TX, 75201",202.3,4
GT0000010,The Henderson Financial Group,Hightower Advisors,7273233,Deborah,Henderson,dhenderson@highadvi.com,980-365-9837,Boston,MA,02134,"8690 Main Rd, Suite 558, Boston, MA, 02134",482.0,4
GT0000011,The Flores Wealth Management Group,RBC Wealth Management,9153566,Sharon,Flores,sflores@rbc.com,270-978-9727,Memphis,TN,38101,"2061 Cedar Pl, Memphis, TN, 38101",395.4,3
GT0000012,The Cox Capital Group,HighTower,4374754,Steven,Cox,scox@high.com,930-519-7537,Richmond,VA,23220,"6119 Lincoln Ct, Suite 1115, Richmond, VA, 23220",207.2,3
GT0000013,The Baker Financial Group,Merrill Lynch,1987737,William,Baker,wbaker@merrlync.com,434-269-1514,Salt Lake City,UT,84101,"5414 Pine Ct, Suite 2840, Salt Lake City, UT, 84101",266.6,5
GT0000014,Ward Private Client Group,Raymond James,8935169,Anthony,Ward,award@raymjame.com,616-394-2545,Phoenix,AZ,85001,"1589 Jefferson Rd, Suite 2012, Phoenix, AZ, 85001",384.7,2
GT0000015,Jenkins Wealth Management Group,Wells Fargo Advisors,4214348,Sandra,Jenkins,sjenkins@wellfargad.com,394-749-8350,Cleveland,OH,44101,"2297 Jefferson Blvd, Suite 1123, Cleveland, OH, 44101",293.1,2
GT0000016,The Peterson Wealth Management Group,Wells Fargo Advisors,4965789,Jeffrey,Peterson,jpeterson@wellfargad.com,370-616-8956,Chicago,IL,60614,"7887 Washington Way, Chicago, IL, 60614",141.4,3
GT0000017,Smith Investment Group,Piper Sandler,9164991,Edward,Smith,esmith@pipesand.com,358-394-5861,Minneapolis,MN,55401,"3567 Oak Ct, Suite 1384, Minneapolis, MN, 55401",25,2
GT0000018,The Kelly Advisory Group,Rockefeller Capital Management,9519948,Michael,Kelly,mkelly@rockcapi.com,282-390-2122,Los Angeles,CA,90025,"9750 Pine Dr, Suite 3956, Los Angeles, CA, 90025",994.0,6
GT0000019,The Kelly Wealth Management Group,HighTower,6307805,Donald,Kelly,dkelly@high.com,467-409-6147,San Diego,CA,92101,"3911 Lake Way, Suite 2743, San Diego, CA, 92101",104.4,4
GT0000020,Green Wealth Management Group,UBS Financial Services,2677407,Ryan,Green,rgreen@ubs.com,275-750-4492,Milwaukee,WI,53201,"8289 Lake Blvd, Milwaukee, WI, 53201",67.1,2
GT0000021,The Young Investment Group,Janney Montgomery Scott,9874152,Sharon,Young,syoung@jannmontsc.com,208-883-5905,Las Vegas,NV,89101,"1698 Cedar Ln, Suite 538, Las Vegas, NV, 89101",626.3,6
GT0000022,The Wright Financial Group,Stifel Financial,4415796,Charles,Wright,cwright@stif.com,903-849-5325,Cleveland,OH,44101,"8281 Broadway Ln, Cleveland, OH, 44101",48.5,2
GT0000023,Henderson Wealth Solutions Group,Oppenheimer & Co,5394880,David,Henderson,dhenderson@oppe.com,365-959-8239,Los Angeles,CA,90001,"9039 Jefferson Ct, Suite 408, Los Angeles, CA, 90001",1920.3,3
