src_team_id,source,team_name,firm_name,crd_number,lead_first_name,lead_last_name,lead_email,lead_phone,address,city,state,zip,aum_millions
SRA0000001,Broadridge,Sanchez Capital Group,Steward Partners,5667265,Sue,Sanchez,ssanchez@stewpart.com,2069773615,"6925 River Ln, Ste 3227, Las Vegas, NV, 89101",Las Vegas,NV,89101,1580.1
SRA0000002,Broadridge,Campbell Priv Wealth Group,Dynasty Financial Partners,4823498,Sharon,Campbell,scampbell@dynapart.com,496-281-4814,"1655 Madison Ln, Ste 3516, Los Angeles, CA, 90001",Los Angeles,CA,90001,65.2
SRA0000003,Broadridge,Jones Cap Grp,Baird,4539704,Marc,Jones,mjones@bair.com,,"3484 Liberty Pl, Ste 3845, Chicago, IL, 60601",Chicago,IL,60601,164.4
SRA0000004,Broadridge,King Private Wealth Group,Raymond James,7073292,Chuck,King,cking@raymjame.com,(424) 341-9348,"8086 Pine St, Salt Lake City, UT, 84101",Salt Lake City,UT,84101,55.0
SRA0000005,Broadridge,Lee Fin Group,Oppenheimer & Co,7402509,Nancy,Lee,nlee@oppe.com,+18106799669,"4120 Commerce St, Orlando, FL, 32801",Orlando,FL,32801,520.8
SRA0000006,Broadridge,Howard Asset Mgmt Group,Ameriprise Financial,1054447,S.,Howard,showard@amer.com,+19399365315,"8202 Elm Ct, Dallas, TX, 75201",Dallas,TX,75201,216.4
SRA0000007,Broadridge,Hendreson Fin Grp,Hightower Advisors,7273233,Deborah,Henderson,hendersond@highadvi.com,9803659837,"8690 Main Rd, Ste 558, Boston, MA, 02134",Boston,MA,02134,511.3
SRA0000008,Broadridge,Flores Wealth Management Group,RBC Wealth Management,9153566,Sharon,Flores,floress@rbc.com,270.978.9727,"2061 Cedar Pl, Memphis, TN, 38101",Memphis,TN,38101,401.5
SRA0000009,Broadridge,Cox Cap Grp,HighTower,4374754,Steve,Cox,coxs@high.com,930.519.7537,"6119 Lincoln Ct, Ste 1115, Richmond, VA, 23220",Richmond,VA,23220,201.3
SRA0000010,Broadridge,Ward Priv Client Group,Raymond James,8935169,Tony,Ward,wardt@raymjame.com,616-394-2545,"1589 Jefferson Rd, Ste 2012, Phoenix, AZ, 85001",Phoenix,AZ,85001,404.6
SRA0000011,Broadridge,Jenkins Wealth Mgmt Grp,Wells Fargo Advisors,4214348,Sandy,Jenkins,jenkinss@wellfargad.com,394.749.8350,"2297 Jefferson Blvd, Ste 1123, Cleveland, OH, 44101",Cleveland,OH,44101,271.9
SRA0000012,Broadridge,Peterson Wealth Mgmt Group,Wells Fargo Advisors,4965789,Jeff,Peterson,petersonj@wellfargad.com,370-616-8956,"7887 Washington Way, Chicago, IL, 60614",Chicago,IL,6061,136.4
SRA0000013,Broadridge,Smith Invest Grp,Piper Sandler,9164991,Ed,Smith,smithe@pipesand.com,+13583945861,"3567 Oak Ct, Ste 1384, Minneapolis, MN, 55401",Minneapolis,MN,55401,24.8
SRA0000014,Broadridge,Kelly Adv Grp,Rockefeller Capital Management,9519948,Mike,Kelly,kellym@rockcapi.com,282-390-2122,"9750 Pine Dr, Ste 3956, Los Angeles, CA, 90025",Los Angeles,CA,90025,935.9
SRA0000015,Broadridge,Kelly Wealth Management Group,HighTower,6307805,Don,Kelly,dkelly@high.com,,"3911 Lake Way, Ste 2743, San Diego, CA, 92101",San Diego,CA,92101-5562,106.7
SRA0000016,Broadridge,Green Wealth Mgmt Group,UBS Financial Services,2677407,Ry,Green,ry.green@ubs.net,2757504492,"8289 Lake Blvd, Milwaukee, WI, 53201",Milwaukee,WI,53201,69.1
SRA0000017,Broadridge,Young Invest Grp,Janney Montgomery Scott,9874152,Sharon,Young,syoung@jannmontsc.com,208-883-5905,"1698 Cedar Ln, Ste 538, Las Vegas, NV, 89101",Las Vegas,NV,89101,656.9
SRA0000018,Broadridge,Wright Fin Grp,Stifel Financial,4415796,Charlie,Wright,charlie.wright@stif.net,+19038495325,"8281 Broadway Ln, Cleveland, OH, 44101",Cleveland,OH,44101,49.3
SRA0000019,Broadridge,Henderson Wealth Solutions Grp,Oppenheimer & Co,,Dave,Henderson,hendersond@oppe.com,365-959-8239,"9039 Jefferson Ct, Ste 408, Los Angeles, CA, 90001",Los Angeles,CA,90001,1957.7
SRA0000020,Broadridge,Jones Fin Group,Janney Montgomery Scott,,Barb,Jones,bjones@jannmontsc.com,(242) 515-6974,"654 Sunset Dr, Portland, OR, 97201",Portland,OR,97201,269.0
SRA0000021,Broadridge,Gray Financial Group,Oppenheimer & Co,3970445,B.,Gray,bgray@oppe.com,622.225.3938,"5443 Jefferson Dr, Ste 3325, Phoenix, AZ, 85001",Phoenix,AZ,85001,2226.7
SRA0000022,Broadridge,Jones Priv Wealth Group,Rockefeller Capital Management,,Ed,Jones,ed.jones@rockcapi.net,512-433-4652,"388 Washington Way, Ste 3640, Baltimore, MD, 21201",Baltimore,MD,21201,26.0
SRA0000023,Broadridge,Scott Wealth Advs,Janney Montgomery Scott,5382463,Angela,Scott,ascott@jannmontsc.com,382.794.5349,"627 Maple Way, Ste 3321, Richmond, VA, 23220",Richmond,VA,23220,210.0
SRA0000024,Broadridge,Bennett WM Team,Hightower Advisors,4188992,Jay,Bennett,bennettj@highadvi.com,,"28 Market Ct, Memphis, TN, 38101",Memphis,TN,38101,303.7
SRA0000025,Broadridge,Edwards WA,UBS Financial Services,6038571,Geo,Edwards,edwardsg@ubs.com,,,Milwaukee,WI,53201,93.0
SRA0000026,Broadridge,Carter Fin Group,Edward Jones,1006810,Meg,Carter,mcarter@edwajone.com,(511) 493-4443,"7044 Financial Rd, Ste 1911, Detroit, MI, 48201",Detroit,MI,48201,1931.9
SRA0000027,Broadridge,Wood Fam Wealth Group,UBS Financial Services,,Mary,Wood,mwood@ubs.com,+19359137291,"8100 Madison Dr, Ste 2916, Cincinnati, OH, 45201",Cincinnati,OH,45201,208.6
SRA0000028,Broadridge,Alexander Asset Mgmt Group,Wells Fargo Advisors,9689889,Laura,Alexander,laura.alexander@wellfargad.net,6752515082,"1989 Lincoln Blvd, Denver, CO, 80201",Denver,CO,80201,921.0
SRA0000029,Broadridge,Richardson Weath Advisors,Rockefeller Capital Management,4934149,Carol,Richardson,crichardson@rockcapi.com,478-543-6238,"8850 Pine Blvd, Ste 1668, Charlotte, NC, 28201",Charlotte,NC,28201,39.6
SRA0000030,Broadridge,Ramirez Cap Grp,UBS Financial Services,8816912,Dot,Ramirez,dot.ramirez@ubs.net,(625) 263-4388,"6884 Madison St, Cleveland, OH, 44101",Cleveland,OH,44101,491.4
SRA0000031,Broadridge,Roberts WA,Baird,8841505,Jon,Roberts,robertsj@bair.com,330-837-9751,"442 Madison St, Ste 1855, San Francisco, CA, 94101",San Francisco,CA,94101,25.6
SRA0000032,Broadridge,Morgan Wealth Management Group,Edward ones,6662319,Becky,Morgan,bmorgan@edwajone.com,979.588.5558,"6907 Lake Ave, Ste 3168, Orlando, FL, 32801",Orlando,FL,32801,137.1
SRA0000033,Broadridge,Hall WA,RBC Wealth Management,1520596,Mick,Hall,mhall@rbc.com,4534041333,"2497 Park Blvd, Ste 568, Los Angeles, CA, 90001",Los Angeles,CA,90001,747.6
SRA0000034,Broadridge,Butler Wealth Management Team,LPL Financial,6059717,Ronald,Butler,ronald.butler@lpl.net,900.814.2983,"9273 Oak Rd, Ste 2809, Houston, TX, 77001",Houston,TX,77001,1093.9
SRA0000035,Broadridge,Bailey Wealth Mgmt Grp,Baird,8713146,Bill,Bailye,bailyeb@bair.com,(924) 356-8135,,Indianapolis,IN,46201,2857.0
SRA0000036,Broadridge,Cook Cap Grp,Mesirow Financial,5118725,Carol,Cook,carol.cook@mesi.net,288-485-8385,"3996 Lincoln Way, Ste 2124, St. Louis, MO, 63101",St. Louis,MO,63101-8650,1515.1
SRA0000037,Broadridge,Bell WP,LPL Financial,5635017,Dan,Bell,dbell@lpl.com,(769) 210-9464,"3131 Pine Dr, Cleveland, OH, 44101",Cleveland,OH,44101,189.1
SRA0000038,Broadridge,Walker Wealth Advisors,Rockefeller Capital Management,1289293,Sue,Walker,sue.walker@rockcapi.net,295.501.4630,"6626 Park Ln, Las Vegas, NV, 89101",Las Vegas,NV,89101,1119.8
SRA0000039,Broadridge,Peterson Wealth Part,Hightower Advisors,5545223,Mary,Peterrson,peterrsonm@highadvi.com,(513) 457-4777,"1977 Washington Rd, Ste 2294, Hartford, CT, 06101",Hartford,CT,06101-2444,97.7
SRA0000040,Broadridge,Ramirez Invest Group,Rockefeller Capital Management,4256752,M.,Ramirez,mramirez@rockcapi.com,5034326912,"2940 Hill St, Houston, TX, 77001",Houston,TX,77001,1243.3
SRA0000041,Broadridge,Cook Wealth Solutions Grp,Wells Fargo Advisors,9250138,Amy,Cook,amy.cook@wellfargad.net,2757901878,"2486 Cedar Ln, Ste 1116, Detroit, MI, 48201",Detroit,MI,48201-6332,55.7
SRA0000042,Broadridge,Parker Fin Group,HighTower,5988757,Susie,Parker,sparker@high.com,802-639-6003,"9317 Capital St, Austin, TX, 78701",Austin,TX,78701,35.4
SRA0000043,Broadridge,Clark Investment Group,LPL Financial,5024269,Amy,Clark,aclark@lpl.com,377.765.2229,"2565 Main Way, Ste 2532, San Francisco, CA, 94101",San Francisco,CA,94101,1539.3
SRA0000044,Broadridge,Jones Investment Group,RBC Wealth Management,5438490,Drew,Jones,drew.jones@rbc.net,+18408034241,,Baltimore,MD,21201,516.1
SRA0000045,Broadridge,Price Cap Group,Morgan Stanley,1348050,Dave,Price,dprice@morgstan.com,983-888-5415,"9442 Oak Blvd, Ste 2768, Louisville, KY, 40201",Louisville,KY,40201-2595,256.8
SRA0000046,Broadridge,Scott Fin Grp,Edward Jones,,Cynthia,Scott,cscott@edwajone.com,+12936816700,,Cincinnati,OH,45201,412.5
SRA0000047,Broadridge,Turner Investment Group,Rockefeller Capital Management,5234550,K.,Turner,turnerk@rockcapi.com,+15313187622,"8432 Main Ct, Ste 322, Hartford, CT, 06101",Hartford,CT,06101,379.7
SRA0000048,Broadridge,Flores Wealth Management Team,Rockefeller Capital Management,3657144,Sharon,Flores,sharon.flores@rockcapi.net,+15187641224,"9049 Jefferson Ave, Ste 3546, Cincinnati, OH, 45201",Cincinnati,OH,45201,116.0
SRA0000049,Broadridge,Thomas Fam Wealth Group,Raymond James,5587308,R.,Thomas,rthomas@raymjame.com,625-694-8736,"3994 Lincoln Ct, Ste 880, Columbus, OH, 43201",Columbus,OH,43201,149.9
SRA0000050,Broadridge,Bryant Wealth Sol Group,Raymond James,6702160,Jen,Bryant,bryantj@raymjame.com,(719) 473-1042,"4635 Hill Pl, Charlotte, NC, 28201",Charlotte,NC,28201,347.3
SRA0000051,Broadridge,Cook WP,Janney Montgomery Scott,6398528,Babs,Cook,babs.cook@jannmontsc.net,(393) 914-4912,"9369 Madison Dr, Baltimore, MD, 21201",Baltimore,MD,21201,26.9
SRA0000052,Broadridge,Green PC Group,Rockefeller Capital Management,3551903,Bob,Green,rgreen@rockcapi.com,+17072373068,"8230 Financial Rd, Orlando, FL, 32801",Orlando,FL,32801,1915.8
SRA0000053,Broadridge,Cox Wealth Mgmt Group,Mesirow Financial,3589751,Rick,Cox,coxr@mesi.com,2766805342,"5547 Capital Way, San Diego, CA, 92101",San Diego,CA,9210,199.0
SRA0000054,Broadridge,Long Capital Group,Steward Partners,1602286,Steph,Long,slong@stewpart.com,832.270.4846,"4709 Park Ave, Ste 503, Cincinnati, OH, 45201",Cincinnati,OH,4520,156.7
SRA0000055,Broadridge,Perez Wealth Mgmt Group,Stifel Financial,1941524,J.,Perez,jperez@stif.com,500-567-7141,"7057 Cedar Dr, Ste 2418, St. Louis, MO, 63101",St. Louis,MO,63101,35.9
SRA0000056,Broadridge,Thompson Financial Group,UBS Financial Services,3401116,Chris,Thompson,cthompson@ubs.com,437-672-5161,"7530 Lake St, Milwaukee, WI, 53201",Milwaukee,WI,53201,132.8
SRA0000057,Broadridge,Torres Financial Advisory Group,Steward Partners,,Laura,Torres,ltorres@stewpart.com,,"4098 Lincoln Ln, Ste 1675, Las Vegas, NV, 89101",Las Vegas,NV,8910,64.3
SRA0000058,Broadridge,Walker Fin Group,Piper Sandler,,Rick,Walker,rwalker@pipesand.com,8746055497,"133 Financial St, Memphis, TN, 38101",Memphis,TN,38101,
SRA0000059,Broadridge,Campbell WM Team,Raymond James,,Sarah,Campbell,scampbell@raymjame.com,752-574-9697,,St. Louis,MO,63101,225.5
SRA0000060,Broadridge,Nguyen Asset Management Group,Baird,2263313,Angela,Nguyen,nguyena@bair.com,344-972-4696,"6512 Commerce Rd, Ste 1716, Baltimore, MD, 21201",Baltimore,MD,21201,123.5
SRA0000061,Broadridge,Howard Fam Wealth Group,Wells Fargo Advisors,7232293,Stevie,Howard,showard@wellfargad.com,3108914830,"7725 Main Ct, Ste 2598, Philadelphia, PA, 19101",Philadelphia,PA,19101,35.7
SRA0000062,Broadridge,Rodriguez Priv Client Group,Mesirow Financial,2957497,Betty,Rodriguez,brodriguez@mesi.com,343.246.1609,"4987 Broadway Ave, Ste 3734, San Diego, CA, 92101",San Diego,CA,92101,
