src_member_id,src_team_id,source,first_name,last_name,email,phone,title,is_lead,firm_name,city,state
SRA_M0000001,SRA0000001,Broadridge,Sue,Sanchez,ssanchez@stewpart.com,+12069773615,Executive Director,True,Steward Partners,Las Vegas,NV
SRA_M0000002,SRA0000001,Broadridge,Donnie,Taylor,donnie.taylor@stewpart.net,7846963165,Assistant Vice President,False,Steward Partners,Las Vegas,NV
SRA_M0000003,SRA0000001,Broadridge,Carol,Smith,csmith@stewpart.com,390.971.3240,Managing Director,False,Steward Partners,Las Vegas,NV
SRA_M0000004,SRA0000001,Broadridge,Joey,Jackson,jacksonj@stewpart.com,4408948419,Executive Director,False,Steward Partners,Las Vegas,NV
SRA_M0000005,SRA0000002,Broadridge,Sharon,Brown,sbrown@dynapart.com,(595) 979-9121,Portfolio Manager,False,Dynasty Financial Partners,Los Angeles,CA
SRA_M0000006,SRA0000002,Broadridge,S.,Coleman,scoleman@dynapart.com,+16735454082,Managing Director,False,Dynasty Financial Partners,Los Angeles,CA
SRA_M0000007,SRA0000002,Broadridge,Don,Peterson,dpeterson@dynapart.com,602.396.8935,Portfolio Manager,False,Dynasty Financial Partners,Los Angeles,CA
SRA_M0000008,SRA0000003,Broadridge,M.,Jones,mjones@bair.com,780.935.6155,Vice President,True,Baird,Chicago,IL
SRA_M0000009,SRA0000003,Broadridge,Babs,Nelson,babs.nelson@bair.net,929-876-8721,Managing Director,False,Baird,Chicago,IL
SRA_M0000010,SRA0000003,Broadridge,Karen,Lopez,lopezk@bair.com,(649) 959-5829,Senior Associate,False,Baird,Chicago,IL
SRA_M0000011,SRA0000004,Broadridge,Chuck,King,chuck.king@raymjame.net,424.341.9348,Senior Vice President,True,Raymond James,Salt Lake City,UT
SRA_M0000012,SRA0000004,Broadridge,Emily,Ramirez,emily.ramirez@raymjame.net,+17672549768,Wealth Advisor,False,Raymond James,Salt Lake City,UT
SRA_M0000013,SRA0000004,Broadridge,Karen,Lopez,klopez@raymjame.com,795.284.9560,Senior Vice President,False,Raymond James,Salt Lake City,UT
SRA_M0000014,SRA0000005,Broadridge,Nancy,Lee,leen@oppe.com,8106799669,Managing Director,True,Oppenheimer & Co,Orlando,FL
SRA_M0000015,SRA0000005,Broadridge,Cynthia,Reed,,(506) 526-6392,Assistant Vice President,False,Oppenheimer & Co,Orlando,FL
SRA_M0000016,SRA0000006,Broadridge,Dottie,Flores,dflores@amer.com,527.853.4259,Portfolio Manager,False,Ameriprise Financial,Dallas,TX
SRA_M0000017,SRA0000006,Broadridge,Becca,Johnson,johnsonb@amer.com,(224) 457-2816,Senior Vice President,False,Ameriprise Financial,Dallas,TX
SRA_M0000018,SRA0000006,Broadridge,Dan,Gonzales,dgonzales@amer.com,405-424-7334,Associate,False,Ameriprise Financial,Dallas,TX
SRA_M0000019,SRA0000007,Broadridge,Deborah,Henderson,deborah.henderson@highadvi.net,+19803659837,Senior Vice President,True,Hightower Advisors,Boston,MA
SRA_M0000020,SRA0000007,Broadridge,Sharon,Bennett,sbennett@highadvi.com,+13287028724,Executive Director,False,Hightower Advisors,Boston,MA
SRA_M0000021,SRA0000007,Broadridge,Mike,Young,myoung@highadvi.com,+17658084815,Executive Director,False,Hightower Advisors,Boston,MA
SRA_M0000022,SRA0000008,Broadridge,Sharon,Flores,sharon.flores@rbc.net,+12709789727,Managing Director,True,RBC Wealth Management,Memphis,TN
SRA_M0000023,SRA0000008,Broadridge,Maggie,Lewis,lewism@rbc.com,913-876-8002,Executive Director,False,RBC Wealth Management,Memphis,TN
SRA_M0000024,SRA0000008,Broadridge,Stevie,Kelly,stevie.kelly@rbc.net,221-449-8074,Assistant Vice President,False,RBC Wealth Management,Memphis,TN
SRA_M0000025,SRA0000009,Broadridge,Steve,Cox,steve.cox@high.net,(930) 519-7537,Executive Director,True,HighTower,Richmond,VA
SRA_M0000026,SRA0000009,Broadridge,J.,Martnez,j..martnez@high.net,+16337409509,Director,False,HighTower,Richmond,VA
SRA_M0000027,SRA0000010,Broadridge,Ant,Ward,ant.ward@raymjame.net,(616) 394-2545,Vice President,True,Raymond James,Phoenix,AZ
SRA_M0000028,SRA0000010,Broadridge,Mel,Wright,mel.wright@raymjame.net,695-497-1365,Associate,False,Raymond James,Phoenix,AZ
