src_team_id,source,team_name,firm_name,crd_number,lead_first_name,lead_last_name,lead_email,lead_phone,address,city,state,zip,aum_millions
SRB0000001,Discovery,Anderson PCG,Merrill Lynch,,Nancy,Anderson,nancy.anderson@merrlync.net,804-632-1520,,Phoenix,AZ,85001,354.3
SRB0000002,Discovery,The Sanchez CG,Steward Partners,,Sue,Sanchez,sue.sanchez@stewpart.net,(206) 977-3615,"6925 River Ln, Suite 3227, Las Vegas, NV, 89101",Las Vegas,NV,89101,1593.3
SRB0000003,Discovery,Lopez WM Team,Piper Sandler,8707870,Richard,Lopez,lopezr@pipesand.com,7493277201,,Pittsburgh,PA,15201,41.5
SRB0000004,Discovery,The Campbell Private Wealth Grp,Dynasty Financial Partners,4823498,Sharon,Campbell,scampbell@dynapart.com,4962814814,"1655 Madison Ln, Suite 3516, Los Angeles, CA, 90001",Los Angeles,CA,90001,60.2
SRB0000005,Discovery,Mitchell PW Group,Janney Montgomery Scott,,Chris,Mitchell,cmitchell@jannmontsc.com,367-673-7216,"4423 Liberty Ct, Suite 1428, Chicago, IL, 60601",Chicago,IL,60601,128.0
SRB0000006,Discovery,King PW Group,Raymond James,,Charles,King,cking@raymjame.com,+14243419348,"8086 Pine Street, Salt Lake City, UT, 84101",Salt Lake City,UT,84101,57.8
SRB0000007,Discovery,The Lee Fin Group,Oppenheimer & Co,,Nancy,Lee,nancy.lee@oppe.net,8106799669,"4120 Commerce Street, Orlando, FL, 32801",Orlando,FL,32801,481.4
SRB0000008,Discovery,Howard Asset Mgmt Group,Ameriprise Financial,1054447,Sandy,Howard,sandy.howard@amer.net,939-936-5315,,Dallas,TX,75201,197.5
SRB0000009,Discovery,The Henderson Fin Group,Hightower Advisors,7273233,Deborah,Henderson,,9803659837,"8690 Main Rd, Suite 558, Boston, MA, 02134",Boston,MA,02134-1271,513.7
SRB0000010,Discovery,The Flores WMG,RBC Wealth Management,9153566,Sharon,Flores,sflores@rbc.com,270-978-9727,"2061 Cedar Pl, Memphis, TN, 38101",Memphis,TN,38101,385.4
SRB0000011,Discovery,The Cox CG,HighTower,,Steven,Cox,steven.cox@high.net,(930) 519-7537,,Richmond,VA,23220,196.1
SRB0000012,Discovery,The Baker FG,Merrill Lynch,1987737,Bill,Baker,wbaker@merrlync.com,4342691514,"5414 Pine Ct, Suite 2840, Salt Lake City, UT, 84101",Salt Lake City,UT,84101,246.3
SRB0000013,Discovery,Ward PCG,Raymond James,8935169,Tony,Ward,tony.ward@raymjame.net,616-394-2545,"1589 Jefferson Rd, Suite 2012, Phoenix, AZ, 85001",Phoenix,AZ,85001,393.4
SRB0000014,Discovery,Jenkins Wealth Mgmt Group,Wells Fargo Advisors,4214348,Sandy,Jenkins,sjenkins@wellfargad.com,+13947498350,,Cleveland,OH,44101,285.2
SRB0000015,Discovery,The Kelly Adv Grp,Rockefeller Capital Management,9519948,Michael,Kelly,mkelly@rockcapi.com,(282) 390-2122,"9750 Pine Dr, Suite 3956, Los Angeles, CA, 90025",Los Angeles,CA,90025,1016.6
SRB0000016,Discovery,The Kelly WM Group,HighTower,,Don,Kelly,don.kelly@high.net,+14674096147,"3911 Lake Way, Suite 2743, San Diego, CA, 92101",San Diego,CA,92101,
SRB0000017,Discovery,Green WM Group,UBS Financial Services,2677407,Ry,Green,,,"8289 Lake Blvd, Milwaukee, WI, 53201",Milwaukee,WI,53201,72.2
SRB0000018,Discovery,The Young Invest Group,Janney Montgomery Scott,9874152,Sharon,Young,sharon.young@jannmontsc.net,,"1698 Cedar Ln, Suite 538, Las Vegas, NV, 89101",Las Vegas,NV,89101-9812,635.2
SRB0000019,Discovery,Henderson Wealth Sol Group,Oppenheimer & Co,5394880,Dave,Henderson,dhenderson@oppe.com,,,Los Angeles,CA,90001,1931.9
SRB0000020,Discovery,The Jones FG,Janney Montgomery Scott,3138181,Barb,Jones,,242-515-6974,,Portland,OR,97201,263.4
SRB0000021,Discovery,The Gray Fin Group,Oppenheimer & Co,3970445,Bryan,Gray,bgray@oppe.com,622-225-3938,"5443 Jefferson Dr, Suite 3325, Phoenix, AZ, 85001",Phoenix,AZ,85001,2074.4
SRB0000022,Discovery,The Jones Private Wealth Grp,Rockefeller Capital Management,,Ed,Jones,ejones@rockcapi.com,+15124334652,"388 Washington Way, Suite 3640, Baltimore, MD, 21201",Baltimore,MD,21201,24.9
SRB0000023,Discovery,Scott Wealth Adv,Janney Montgomery Scott,5382463,Angela,Scott,ascott@jannmontsc.com,382.794.5349,"627 Maple Way, Suite 3321, Richmond, VA, 23220",Richmond,VA,2322,214.8
SRB0000024,Discovery,Bennett Wealth Mgmt Team,Hightower Advisors,4188992,Jason,Bennett,jbennett@highadvi.com,460-245-8144,"28 Market Ct, Memphis, TN, 38101",Memphis,TN,3810,320.7
SRB0000025,Discovery,Edwards WA,UBS Financial Services,,Geo,Edwards,gedwards@ubs.com,719-516-7691,"5345 Madison Ln, Suite 885, Milwaukee, WI, 53201",Milwaukee,WI,53201,104.6
SRB0000026,Discovery,Carter Fin Grp,Edward Jones,,Margaret,Carter,,+15114934443,"7044 Financial Rd, Suite 1911, Detroit, MI, 48201",Detroit,MI,48201,1966.6
SRB0000027,Discovery,The Reed Wealth Adv,Edward Jones,,Jennifer,Reed,jreed@edwajone.com,2959694848,,Minneapolis,MN,55401,44.2
SRB0000028,Discovery,Alexander Asset Mgmt Group,Wells Fargo Advisors,,Laura,Alexander,alexanderl@wellfargad.com,675-251-5082,"1989 Lincoln Blvd, Denver, CO, 80201",Denver,CO,80201,890.0
SRB0000029,Discovery,The Richardson WA,Rockefeller Capital Management,4934149,Carol,Richardson,crichardson@rockcapi.com,4785436238,"8850 Pine Blvd, Suite 1668, Charlotte, NC, 28201",Charlotte,NC,28201-5085,41.5
SRB0000030,Discovery,Ramirez Cap Grp,UBS Financial Services,8816912,Dot,Ramirez,ramirezd@ubs.com,,"6884 Madison Street, Cleveland, OH, 44101",Cleveland,OH,44101,480.5
SRB0000031,Discovery,Morgan WM Group,Edward Jones,6662319,Becky,Morgan,rmorgan@edwajone.com,979-588-5558,"6907 Lake Avenue, Suite 3168, Orlando, FL, 32801",Orlando,FL,32801,137.6
SRB0000032,Discovery,Ramirez Priv Client Group,Mesirow Financial,2921542,Amy,Ramirez,amy.ramirez@mesi.net,+13675182771,"9482 Main Ln, Suite 3819, Tampa, FL, 33601",Tampa,FL,33601,
SRB0000033,Discovery,The Butler WM Team,LPL Financial,6059717,Ronald,Butler,rbutler@lpl.com,,"9273 Oak Rd, Suite 2809, Houston, TX, 77001",Houston,TX,77001,976.5
SRB0000034,Discovery,Bailey WMG,Baird,,Bill,Bailey,baileyb@bair.com,(924) 356-8135,"2886 Market Ln, Indianapolis, IN, 46201",Indianapolis,IN,46201,2666.4
SRB0000035,Discovery,Cook Cap Group,Mesirow Financial,5118725,Carol,Cook,carol.cook@mesi.net,+12884858385,"3996 Lincoln Way, Suite 2124, St. Louis, MO, 63101",St. Louis,MO,63101,1623.8
SRB0000036,Discovery,Bell WP,LPL Financial,5635017,Dan,Bell,dan.bell@lpl.net,769.210.9464,"3131 Pine Dr, Cleveland, OH, 44101",Cleveland,OH,44101,195.2
SRB0000037,Discovery,Walker Wealth Adv,Rockefeller Capital Management,1289293,Susan,Walker,swalker@rockcapi.com,(295) 501-4630,,Las Vegas,NV,89101,1227.1
SRB0000038,Discovery,Peterson WP,Hightower Advisors,5545223,Mary,Peterson,mary.peterson@highadvi.net,+15134574777,"1977 Washington Rd, Suite 2294, Hartford, CT, 06101",Hartford,CT,06101-3821,99.9
SRB0000039,Discovery,Ramirez Invest Group,Rockefeller Capital Management,,Matthew,Ramirez,mramirez@rockcapi.com,503.432.6912,"2940 Hill Street, Houston, TX, 77001",Houston,TX,77001,1282.2
SRB0000040,Discovery,Garcia Adv Grp,Morgan Stanley,2721135,Paul,Garcia,pgarcia@morgstan.com,,"7691 Broadway Pl, Suite 310, Boston, MA, 02101",Boston,MA,02101-1147,63.2
SRB0000041,Discovery,The Parker FG,HighTower,,Susan,Parker,sparker@high.com,802-639-6003,,Austin,TX,78701,34.1
SRB0000042,Discovery,Jones Invest Grp,RBC Wealth Management,5438490,Andrew,Jones,ajones@rbc.com,8408034241,"6966 Maple Ct, Suite 710, Baltimore, MD, 21201",Baltimore,MD,21201,531.1
SRB0000043,Discovery,The Jackson WM Group,UBS Financial Services,,Mel,Jackson,,+16493278679,"4983 Madison Ln, Suite 2122, Nashville, TN, 37201",Nashville,TN,37201,375.5
SRB0000044,Discovery,Price Cap Grp,Morgan Stanley,1348050,Dave,Price,,9838885415,"9442 Oak Blvd, Suite 2768, Louisville, KY, 40201",Louisville,KY,4020,257.7
SRB0000045,Discovery,Turner Invest Group,Rockefeller Capital Management,,Kev,Turner,kturner@rockcapi.com,+15313187622,"8432 Main Ct, Suite 322, Hartford, CT, 06101",Hartford,CT,06101,396.2
SRB0000046,Discovery,Campbell AMG,HighTower,8416216,Linda,Campbell,lcampbell@high.com,+19782524335,"4376 Commerce Blvd, Cincinnati, OH, 45201",Cincinnati,OH,45201,295.1
SRB0000047,Discovery,The Flores Wealth Mgmt Team,Rockefeller Capital Management,3657144,Sharon,Flores,sflores@rockcapi.com,+15187641224,"9049 Jefferson Avenue, Suite 3546, Cincinnati, OH, 45201",Cincinnati,OH,45201,116.5
SRB0000048,Discovery,Thomas Family Wealth Grp,Raymond James,5587308,Ry,Thomas,thomasr@raymjame.com,6256948736,"3994 Lincoln Ct, Suite 880, Columbus, OH, 43201",Columbus,OH,43201,137.0
SRB0000049,Discovery,The Bryant Wealth Sol Group,Raymond James,6702160,Jen,Brant,brantj@raymjame.com,719-473-1042,"4635 Hill Pl, Charlotte, NC, 28201",Charlotte,NC,28201-7810,367.7
SRB0000050,Discovery,Green Priv Client Group,Rockefeller Capital Management,,Robert,Green,rgreen@rockcapi.com,7072373068,"8230 Financial Rd, Orlando, FL, 32801",Orlando,FL,32801,2048.9
SRB0000051,Discovery,The Cox Wealth Mgmt Grp,Mesirow Financial,,Richard,Cox,coxr@mesi.com,276.680.5342,"5547 Capital Way, San Diego, CA, 92101",San Diego,CA,92101,202.0
SRB0000052,Discovery,Long Cap Group,Steward Partners,1602286,Stephanie,Long,slong@stewpart.com,832-270-4846,"4709 Park Avenue, Suite 503, Cincinnati, OH, 45201",Cincinnati,OH,45201,174.7
SRB0000053,Discovery,The Perez Wealth Mgmt Grp,Stifel Financial,,Jeffrey,Perez,jeffrey.perez@stif.net,5005677141,"7057 Cedar Dr, Suite 2418, St. Louis, MO, 63101",St. Louis,MO,63101,34.5
SRB0000054,Discovery,Thompson Fin Group,UBS Financial Services,3401116,Christopher,Thompson,thompsonc@ubs.com,437.672.5161,"7530 Lake Street, Milwaukee, WI, 53201",Milwaukee,WI,53201,136.9
SRB0000055,Discovery,The Torres Fin Advisory Group,Steward Partners,6797629,Laura,Torres,torresl@stewpart.com,,"4098 Lincoln Ln, Suite 1675, Las Vegas, NV, 89101",Las Vegas,NV,89101,64.1
SRB0000056,Discovery,Walker Fin Grp,Piper Sandler,,Rich,Walker,,+18746055497,"133 Financial Street, Memphis, TN, 38101",Memphis,TN,38101,143.5
SRB0000057,Discovery,Torres FG,RBC Wealth Management,,Deborah,Torres,deborah.torres@rbc.net,,"1592 Liberty Street, Suite 1905, Denver, CO, 80201",Denver,CO,80201,1404.6
SRB0000058,Discovery,Campbell Wealth Mgmt Team,Raymond James,,Sarah,Campbell,sarah.campbell@raymjame.net,(752) 574-9697,"8222 Lake Blvd, Suite 3477, St. Louis, MO, 63101",St. Louis,MO,63101,223.2
SRB0000059,Discovery,The Nguyen Asset Mgmt Grp,Baird,,Angela,Ngguyen,angguyen@bair.com,3449724696,"6512 Commerce Rd, Suite 1716, Baltimore, MD, 21201",Baltimore,MD,21201,116.5
SRB0000060,Discovery,Howard Family Wealth Grp,Wells Fargo Advisors,7232293,Steve,Howard,showard@wellfargad.com,310-891-4830,,Philadelphia,PA,19101-2032,34.9
SRB0000061,Discovery,Rodriguez Priv Client Group,Mesirow Financial,,Betty,Rodriguez,brodriguez@mesi.com,(343) 246-1609,"4987 Broadway Avenue, Suite 3734, San Diego, CA, 92101",San Diego,CA,92101,78.0
