src_member_id,src_team_id,source,first_name,last_name,email,phone,title,is_lead,firm_name,city,state
SRC_M0000001,SRC0000001,Bloomberg,Donald,Taylor,taylord@stewpart.com,+17846963165,Assistant Vice President,False,Steward Partners,Las Vegas,NV
SRC_M0000002,SRC0000001,Bloomberg,Carol,Smith,csmith@stewpart.com,390-971-3240,Managing Director,False,Steward Partners,Las Vegas,NV
SRC_M0000003,SRC0000002,Bloomberg,Kathleen,Evans,evansk@jannmontsc.com,948-502-3382,Vice President,False,Janney Montgomery Scott,Chicago,IL
SRC_M0000004,SRC0000003,Bloomberg,Nancy,Lee,nlee@oppe.com,810-679-9669,Managing Director,True,Oppenheimer & Co,Orlando,FL
SRC_M0000005,SRC0000003,Bloomberg,Cynthia,Reed,creed@oppe.com,,Assistant Vice President,False,Oppenheimer & Co,Orlando,FL
SRC_M0000006,SRC0000004,Bloomberg,Deborah,Henderson,dhenderson@highadvi.com,9803659837,Senior Vice President,True,Hightower Advisors,Boston,MA
SRC_M0000007,SRC0000004,Bloomberg,Sharon,Bennett,bennetts@highadvi.com,,Executive Director,False,Hightower Advisors,Boston,MA
SRC_M0000008,SRC0000005,Bloomberg,Anthony,Ward,award@raymjame.com,616-394-2545,Vice President,True,Raymond James,Phoenix,AZ
SRC_M0000009,SRC0000005,Bloomberg,Melissa,Wright,mwright@raymjame.com,695-497-1365,Associate,False,Raymond James,Phoenix,AZ
SRC_M0000010,SRC0000006,Bloomberg,Edward,Smith,esmith@pipesand.com,,Senior Vice President,True,Piper Sandler,Minneapolis,MN
SRC_M0000011,SRC0000006,Bloomberg,Kathleen,Hughes,hughesk@pipesand.com,(251) 919-8570,Managing Director,False,Piper Sandler,Minneapolis,MN
SRC_M0000012,SRC0000007,Bloomberg,Michael,Kelly,mkelly@rockcapi.com,2823902122,Vice President,True,Rockefeller Capital Management,Los Angeles,CA
SRC_M0000013,SRC0000007,Bloomberg,Cynthia,Turner,cturner@rockcapi.com,,Senior Portfolio Manager,False,Rockefeller Capital Management,Los Angeles,CA
SRC_M0000014,SRC0000007,Bloomberg,Amy,Washington,washingtona@rockcapi.com,+18663039537,Wealth Advisor,False,Rockefeller Capital Management,Los Angeles,CA
SRC_M0000015,SRC0000007,Bloomberg,Charles,Mitchell,cmitchell@rockcapi.com,427-815-6867,Wealth Advisor,False,Rockefeller Capital Management,Los Angeles,CA
SRC_M0000016,SRC0000007,Bloomberg,Anthony,Kelly,akelly@rockcapi.com,(470) 895-9804,Portfolio Manager,False,Rockefeller Capital Management,Los Angeles,CA
SRC_M0000017,SRC0000008,Bloomberg,Daniel,Moore,dmoore@high.com,460.408.5785,Director,False,HighTower,San Diego,CA
SRC_M0000018,SRC0000008,Bloomberg,Michael,Sanders,michael.sanders@high.net,+14054603335,Wealth Advisor,False,HighTower,San Diego,CA
SRC_M0000019,SRC0000008,Bloomberg,Donna,Kelly,dkelly@high.com,360.619.4631,Financial Advisor,False,HighTower,San Diego,CA
SRC_M0000020,SRC0000009,Bloomberg,Edward,Johnson,johnsone@jannmontsc.com,271.809.4693,Executive Director,False,Janney Montgomery Scott,Las Vegas,NV
SRC_M0000021,SRC0000009,Bloomberg,Ryan,Bell,rbell@jannmontsc.com,373-764-7381,Portfolio Manager,False,Janney Montgomery Scott,Las Vegas,NV
SRC_M0000022,SRC0000009,Bloomberg,Kenneth,Coleman,kcoleman@jannmontsc.com,973.644.7621,Assistant Vice President,False,Janney Montgomery Scott,Las Vegas,NV
