notice_id,capital_call_id,commitment_id,investor_id,fund_id,feeder_id,offering_id,call_number,call_date,due_date,committed_amount_usd,call_percentage,call_amount_usd,equalization_amount_usd,total_due_usd,payment_status,payment_date,payment_reference,bank_account,unfunded_commitment_usd,cumulative_called_pct
CCN-00001,FUND-ACO-V-CC1,COMM-0001,INV-0021,FUND-ACO-V,FUND-ACO-V-DOM,FUND-ACO-V-DOM-A,1,2023-08-08,2023-08-22,29820000.0,30.0,8946000.0,0.0,8946000.0,Paid,2023-08-25,WIRE-000001,CITI-200300400,20874000.0,30.0
CCN-00002,FUND-ACO-V-CC2,COMM-0001,INV-0021,FUND-ACO-V,FUND-ACO-V-DOM,FUND-ACO-V-DOM-A,2,2024-01-23,2024-02-06,29820000.0,25.0,7455000.0,0.0,7455000.0,Paid,2024-02-09,WIRE-000002,BOFA-300400500,13419000.0,55.0
CCN-00003,FUND-ABF-IX-CC1,COMM-0002,INV-0033,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-08-08,2021-08-20,426410000.0,30.0,127923000.0,0.0,127923000.0,Pending,,,GS-400500600,298487000.0,30.0
CCN-00004,FUND-ABF-IX-CC2,COMM-0002,INV-0033,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,2,2021-11-28,2021-12-10,426410000.0,25.0,106602500.0,0.0,106602500.0,Paid,2021-12-14,WIRE-000004,GS-400500600,191884500.0,55.0
CCN-00005,FUND-AIP-II-CC1,COMM-0003,INV-0016,FUND-AIP-II,FUND-AIP-II-OFF,FUND-AIP-II-OFF-A,1,2021-08-23,2021-09-06,64340000.0,30.0,19302000.0,0.0,19302000.0,Paid,2021-09-08,WIRE-000005,JPMC-100200300,45038000.0,30.0
CCN-00006,FUND-AIP-II-CC2,COMM-0003,INV-0016,FUND-AIP-II,FUND-AIP-II-OFF,FUND-AIP-II-OFF-A,2,2022-05-01,2022-05-13,64340000.0,25.0,16085000.0,0.0,16085000.0,Paid,2022-05-17,WIRE-000006,GS-400500600,28953000.0,55.0
CCN-00007,FUND-AGE-I-CC1,COMM-0004,INV-0039,FUND-AGE-I,FUND-AGE-I-OFF,FUND-AGE-I-OFF-A,1,2019-08-18,2019-08-30,311590000.0,30.0,93477000.0,0.0,93477000.0,Paid,2019-08-30,WIRE-000007,GS-400500600,218113000.0,30.0
CCN-00008,FUND-AGE-I-CC2,COMM-0004,INV-0039,FUND-AGE-I,FUND-AGE-I-OFF,FUND-AGE-I-OFF-A,2,2020-05-18,2020-06-01,311590000.0,25.0,77897500.0,0.0,77897500.0,Paid,2020-06-03,WIRE-000008,GS-400500600,140215500.0,55.0
CCN-00009,FUND-ACO-IV-CC1,COMM-0005,INV-0014,FUND-ACO-IV,FUND-ACO-IV-DOM,FUND-ACO-IV-DOM-A,1,2021-08-17,2021-08-31,123150000.0,30.0,36945000.0,0.0,36945000.0,Paid,2021-08-31,WIRE-000009,GS-400500600,86205000.0,30.0
CCN-00010,FUND-ACO-IV-CC2,COMM-0005,INV-0014,FUND-ACO-IV,FUND-ACO-IV-DOM,FUND-ACO-IV-DOM-A,2,2022-02-19,2022-03-04,123150000.0,25.0,30787500.0,0.0,30787500.0,Paid,2022-03-09,WIRE-000010,HSBC-600700800,55417500.0,55.0
