account_id,account_number,account_type,social_code,broker_id,firm_id,office_id,rep_id,platform_code,nscc_or_direct,preferred_fund_id,preferred_share_class,drip_election,existing_balance_shares,existing_balance_nav
ACCT00001,00094744854,INDIVIDUAL,701,CETA,0000CET001,28289,2679,CETA,NSCC,AMCECF,W,N,13823.963,149990.0
ACCT00002,00091499914,TRUST,705,VSR,0000VSR001,22280,4582,VSRF,NSCC,AMCECF,I,Y,21153.8988,229519.8
ACCT00003,00098038374,TRUST,705,CAIS,0000CAI001,38893,8359,CAIS,DIRECT,AMCECF,I,N,10021.9988,108738.69
ACCT00004,00096708456,PENSION,798,RJ,0000RAJ001,46421,3547,RJFS,NSCC,AMCECF,A,Y,34937.1558,379068.14
ACCT00005,00097022674,IRA,703,OSAIC,0000OSA001,55082,5333,OSAI,NSCC,AMCECF,A,Y,19058.3723,206783.34
ACCT00006,00095918715,ROTH_IRA,704,VSR,0000VSR001,92397,6925,VSRF,NSCC,AMCECF,I,N,4032.1299,43748.61
ACCT00007,00095855124,CORPORATE,798,UBS,0000UBS001,20458,4814,UBSW,NSCC,AMCECF,A,Y,33097.0396,359102.88
ACCT00008,00093728882,IRA,703,SCHW,0000SCH001,58520,6820,SCHW,NSCC,AMCMSA,W,Y,41722.1103,486897.03
ACCT00009,00099961380,IRA,703,CETA,0000CET001,42087,3677,CETA,NSCC,AMCECF,I,Y,31785.4166,344871.77
ACCT00010,00091938483,IRA,703,SCHW,0000SCH001,40021,1525,SCHW,NSCC,AMCRAI,W,Y,16281.7084,202218.82
ACCT00011,00096279418,IRA,703,SCHW,0000SCH001,37869,9179,SCHW,NSCC,AMCECF,A,Y,45665.4926,495470.59
ACCT00012,00095137722,CORPORATE,798,CNTS,0000CNT001,83579,9830,CNTS,NSCC,AMCMSA,A,Y,13317.5203,155415.46
ACCT00013,00094679591,TRUST,705,VSR,0000VSR001,28131,9348,VSRF,NSCC,AMCMSA,I,Y,20030.0852,233751.09
ACCT00014,00093684052,PENSION,798,MER,0000MER001,99192,7916,MLCO,NSCC,AMCECF,A,N,7726.7818,83835.58
ACCT00015,00099877065,ROTH_IRA,704,MER,0000MER001,42953,1188,MLCO,NSCC,AMCMSA,I,N,49806.4569,581241.35
ACCT00016,00095924115,INDIVIDUAL,701,VSR,0000VSR001,66985,3591,VSRF,NSCC,AMCPCI,W,Y,17074.7561,174674.75
ACCT00017,00099517485,CORPORATE,798,LPL,0000LPL001,23947,5889,LPLF,NSCC,AMCPCI,I,N,38121.9137,389987.18
ACCT00018,00093710343,TRUST,705,CAIS,0000CAI001,80697,9689,CAIS,DIRECT,AMCRAI,A,Y,18758.3012,232978.1
ACCT00019,00097089806,IRA,703,NPC,0000NPC001,50306,4923,NATL,NSCC,AMCMSA,A,Y,5682.1995,66311.27
ACCT00020,00092161193,TRUST,705,UBS,0000UBS001,79822,3060,UBSW,NSCC,AMCECF,A,Y,36622.189,397350.75
ACCT00021,00098099076,ROTH_IRA,704,CETA,0000CET001,37760,9835,CETA,NSCC,AMCRAI,A,N,26430.922,328272.05
ACCT00022,00097264956,JOINT,702,VSR,0000VSR001,67422,9479,VSRF,NSCC,AMCPCI,I,Y,49757.9529,509023.86
ACCT00023,00094860684,JOINT,702,MER,0000MER001,87128,4608,MLCO,NSCC,AMCRAI,A,Y,16970.4696,210773.23
ACCT00024,00091527021,CORPORATE,798,MER,0000MER001,53309,2160,MLCO,NSCC,AMCECF,A,N,3463.2764,37576.55
ACCT00025,00098930103,IRA,703,UBS,0000UBS001,41850,8749,UBSW,NSCC,AMCMSA,A,Y,27007.7732,315180.71
ACCT00026,00098106470,INDIVIDUAL,701,UBS,0000UBS001,63883,8651,UBSW,NSCC,AMCECF,W,N,21609.454,234462.58
ACCT00027,00096692553,CORPORATE,798,LPL,0000LPL001,24322,5073,LPLF,NSCC,AMCECF,A,Y,20190.802,219070.2
ACCT00028,00095673212,TRUST,705,UBS,0000UBS001,70637,5092,UBSW,NSCC,AMCMSA,A,Y,21151.8938,246842.6
ACCT00029,00091247595,PENSION,798,ICAP,0000ICA001,22224,4872,ICAP,DIRECT,AMCECF,A,Y,32642.0302,354166.03
ACCT00030,00091983738,ROTH_IRA,704,SCHW,0000SCH001,31579,7209,SCHW,NSCC,AMCMSA,A,Y,43246.0547,504681.46
ACCT00031,00099164991,IRA,703,SCHW,0000SCH001,30289,4111,SCHW,NSCC,AMCMSA,A,Y,21208.0736,247498.22
ACCT00032,00091841248,INDIVIDUAL,701,UBS,0000UBS001,86569,8811,UBSW,NSCC,AMCECF,W,N,15748.88,170875.35
