transaction_id,posting_date,trade_date,settle_date,trade_month,trade_year,account_id,account_number,account_type,social_code,fund_id,fund_name,fund_type,fund_code,transfer_agent,source_code,tran_type,tran_code,tran_suffix,trade_type,trade_class,share_class,cusip,isin,product_code,gross_amount,net_amount,total_shares,nav_per_share,dealer_comm_amount,under_comm_amount,disc_cat_code,drip_election,tender_window_flag,dist_frequency,tender_pct_limit,firm_id,office_id,rep_id,broker_id,broker_name,platform_code,nscc_or_direct,nscc_control_nbr,tran_description
5000000000000325933,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00204,00096679880,PENSION,798,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,4475,DST,DIR,PURCH_ADD,002,006,A,N,A,00827D101,US00827D101,ADPEC,10798.51,10177.59,1060.7261,10.1803,539.93,80.99,01,N,N,QUARTERLY,5,0000VSR001,94252,3868,VSR,VSR Financial,VSRF,NSCC,14996515347,Additional purchase into existing account
5000000000000526912,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00417,00091011467,TRUST,705,AMCRAI,AMC Real Assets Income Fund,NT_REIT,4411,DST,DIR,PURCH_ADD,002,006,A,N,A,00827C101,US00827C101,ADREF,26174.68,24669.64,2097.9689,12.4762,1308.73,196.31,01,Y,N,MONTHLY,5,0000UBS001,53481,4300,UBS,UBS Financial,UBSW,NSCC,99502701975,Additional purchase into existing account
5000000000001004720,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00231,00099102469,CORPORATE,798,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,4475,DST,DIR,PURCH_ADD,002,006,A,N,W,00827D309,US00827D309,ADPEC,74714.73,74714.73,7339.1482,10.1803,0.0,0.0,99,Y,N,QUARTERLY,5,0000CNT001,42096,7653,CNTS,Centaurus Financial,CNTS,NSCC,58360340128,Additional purchase into existing account
5000000000001465577,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00287,00098944327,ROTH_IRA,704,AMCRAI,AMC Real Assets Income Fund,NT_REIT,4411,DST,DIR,PURCH_ADD,002,006,A,N,A,00827C101,US00827C101,ADREF,56191.66,52960.64,4503.9082,12.4762,2809.58,421.44,01,Y,N,MONTHLY,5,0000SCH001,41584,4692,SCHW,Schwab,SCHW,NSCC,47838730111,Additional purchase into existing account
5000000000002170452,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00011,00096279418,IRA,703,AMCECF,AMC Evergreen Credit Fund,INTERVAL,4475,DST,DIR,PURCH_ADD,002,006,A,N,A,00827B101,US00827B101,ADCRE,41764.33,39362.88,3828.9904,10.9074,2088.22,313.23,01,Y,N,QUARTERLY,5,0000SCH001,37869,9179,SCHW,Schwab,SCHW,NSCC,38370733029,Additional purchase into existing account
5000000000003088665,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00295,00093448176,ROTH_IRA,704,AMCECF,AMC Evergreen Credit Fund,INTERVAL,4475,DST,DIR,PURCH_NEW,001,006,A,N,I,00827B200,US00827B200,ADCRE,1334744.42,1334744.42,122370.5393,10.9074,0.0,0.0,99,N,N,QUARTERLY,5,0000FID001,12125,5272,FIDO,Fidelity,FMCO,NSCC,33787411183,New account purchase / initial subscription
5000000000003699839,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00146,00093927575,IRA,703,AMCRAI,AMC Real Assets Income Fund,NT_REIT,4411,DST,DIR,PURCH_ADD,002,006,A,N,A,00827C101,US00827C101,ADREF,36155.79,34076.83,2897.981,12.4762,1807.79,271.17,01,Y,N,MONTHLY,5,0000LPL001,24408,1422,LPL,LPL Financial LLC,LPLF,NSCC,81610817958,Additional purchase into existing account
5000000000004199420,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00397,00096473593,IRA,703,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,4475,DST,DIR,XFER_IN,006,006,A,N,I,00827D200,US00827D200,ADPEC,73916.09,73916.09,7260.6986,10.1803,0.0,0.0,99,Y,N,QUARTERLY,5,0000RAJ001,51688,8417,RJ,Raymond James,RJFS,NSCC,22410876886,Account transfer in (ACATS/direct)
5000000000005146372,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00315,00093588336,JOINT,702,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,4408,DST,DIR,PURCH_NEW,001,006,A,N,W,00827E309,US00827E309,ADPE,161098.7,161098.7,13749.729,11.7165,0.0,0.0,99,Y,N,QUARTERLY,5,0000RAJ001,61068,6188,RJ,Raymond James,RJFS,NSCC,96619077366,New account purchase / initial subscription
5000000000005845777,2024-01-02,2024-01-02,2024-01-03,1,2024,ACCT00476,00091767026,TRUST,705,AMCPCI,AMC Private Credit Interval Fund,INTERVAL,4475,DST,DIR,PURCH_ADD,002,006,A,N,A,00827D101,US00827D101,ADPEC,34401.44,32423.36,3379.2167,10.1803,1720.07,258.01,01,Y,N,QUARTERLY,5,0000SCH001,49085,5764,SCHW,Schwab,SCHW,NSCC,94315677258,Additional purchase into existing account
