rep_id,rep_crd,broker_id,firm_id,office_id,rep_first_name,rep_last_name,rep_email,rep_phone,designation,specialty,years_experience,aum_approx_usd,alt_inv_certified,active,hire_date
1006,1141240,SCHW,0000SCH001,81819,Charles,Harris,charles.harris@415-667-7000,212-890-4452,,Private Equity,13,250000000,Y,Y,2011-10-28
1040,4978534,RJ,0000RAJ001,86278,William,Garcia,william.garcia@firm.com,475-682-6621,,Wealth Management,20,25000000,N,Y,2013-04-14
1043,8561977,CETA,0000CET001,30517,Barbara,Thomas,barbara.thomas@800-245-0467,384-785-3148,"CPWA,CFP",Retirement Planning,15,25000000,Y,Y,2008-04-18
1076,3509000,NPC,0000NPC001,60242,Susan,Jackson,susan.jackson@602-224-2000,684-209-3893,,Private Wealth,9,15000000,Y,Y,2020-09-18
1086,1800429,CNTS,0000CNT001,68799,Richard,Martin,richard.martin@800-237-0081,607-301-3676,CFP,Retirement Planning,12,25000000,Y,Y,2015-11-04
1132,7044941,NPC,0000NPC001,45976,Thomas,Anderson,thomas.anderson@602-224-2000,773-770-5222,,Alternative Investments,11,30000000,N,Y,2003-06-28
1152,3928275,ICAP,0000ICA001,36934,Nancy,Miller,nancy.miller@212-994-7400,999-491-6818,,Multi-Asset,21,150000000,N,Y,2014-02-13
1157,3430151,RJ,0000RAJ001,57059,Nancy,Taylor,nancy.taylor@firm.com,371-855-6527,,Institutional Sales,17,200000000,Y,Y,2002-03-11
1166,5888148,FIDO,0000FID001,82848,Jennifer,Anderson,jennifer.anderson@800-343-3548,927-473-7479,"CFP,CIMA",Private Wealth,13,200000000,Y,Y,2018-09-15
1187,3097821,RJ,0000RAJ001,49576,Susan,Garcia,susan.garcia@firm.com,945-440-5122,CIMA,Retirement Planning,8,5000000,Y,Y,2012-02-04
1188,1442329,MER,0000MER001,42953,Michael,Martin,michael.martin@212-449-1000,989-606-9584,CIMA,Private Equity,20,5000000,Y,Y,2019-03-03
1195,5767670,CAIS,0000CAI001,25919,Joseph,Taylor,joseph.taylor@212-300-9350,653-841-3071,CPWA,Multi-Asset,10,20000000,Y,Y,2000-01-22
1201,5570355,CETA,0000CET001,15772,Barbara,Anderson,barbara.anderson@800-245-0467,761-655-3213,"CFP,CFA",Wealth Management,18,75000000,N,Y,2020-12-21
1202,9955411,FIDO,0000FID001,60493,Christopher,White,christopher.white@800-343-3548,517-555-8891,"CFP,CFA",Retirement Planning,19,200000000,Y,Y,2014-05-12
1251,1177097,VSR,0000VSR001,49739,Susan,Wilson,susan.wilson@918-663-1414,200-735-3233,,Ultra High Net Worth,7,25000000,N,Y,2017-01-23
1293,8221506,CAIS,0000CAI001,34979,Jessica,Martin,jessica.martin@212-300-9350,499-811-4788,CFP,Multi-Asset,12,5000000,Y,Y,2006-07-18
1307,7538471,VSR,0000VSR001,67176,Susan,Jackson,susan.jackson@918-663-1414,587-425-5308,CIMA,Institutional Sales,10,15000000,Y,Y,2016-10-26
1370,9924543,VSR,0000VSR001,25084,William,Taylor,william.taylor@918-663-1414,475-622-4080,CIMA,Wealth Management,23,250000000,Y,Y,2009-02-21
1372,9254323,MS,0000MOR001,10455,Thomas,Lewis,thomas.lewis@212-761-4000,392-528-1317,CPWA,Alternative Investments,17,25000000,Y,Y,2005-02-10
1422,1137641,LPL,0000LPL001,24408,William,Jones,william.jones@858-450-9606,438-292-3468,CFP,Private Wealth,25,75000000,Y,Y,2010-07-10
1430,1532460,MS,0000MOR001,23538,Jessica,Thomas,jessica.thomas@212-761-4000,538-282-3393,CFP,Ultra High Net Worth,17,250000000,N,Y,2002-09-16
1472,1211652,UBS,0000UBS001,25915,Lisa,Miller,lisa.miller@212-713-2000,324-986-5078,,Private Wealth,11,50000000,Y,Y,2001-04-15
1480,8932696,OSAIC,0000OSA001,25473,Patricia,Thompson,patricia.thompson@770-980-4400,598-897-6113,,Wealth Management,24,20000000,Y,Y,2017-09-04
1496,4334029,MER,0000MER001,91016,William,Martin,william.martin@212-449-1000,569-253-4568,CIMA,Retirement Planning,23,25000000,N,Y,2010-01-06
1502,5078362,MS,0000MOR001,28595,William,Robinson,william.robinson@212-761-4000,209-243-8786,"CPWA,CFP",Wealth Management,6,50000000,Y,Y,2002-04-06
1519,6677780,ICAP,0000ICA001,95686,Jessica,Williams,jessica.williams@212-994-7400,977-840-1983,CFP,Family Office Services,24,150000000,Y,Y,2017-02-05
1525,6827024,SCHW,0000SCH001,40021,Jessica,Davis,jessica.davis@415-667-7000,649-950-4161,CFP,Institutional Sales,13,100000000,Y,Y,2004-05-02
1528,9222379,ICAP,0000ICA001,49021,Jessica,Harris,jessica.harris@212-994-7400,394-780-4057,"CFP,CFA",Family Office Services,20,25000000,Y,Y,2014-05-28
1530,9911007,VSR,0000VSR001,84381,Nancy,Young,nancy.young@918-663-1414,358-660-5844,"CFP,CIMA",Multi-Asset,8,10000000,Y,Y,2014-01-25
1554,1314067,CAIS,0000CAI001,78674,Charles,Jackson,charles.jackson@212-300-9350,834-572-4912,,Private Equity,26,15000000,N,Y,2006-09-22
1590,5750117,VSR,0000VSR001,81511,Jessica,Young,jessica.young@918-663-1414,530-619-6276,CIMA,Private Equity,7,150000000,Y,Y,2001-03-06
1606,4214793,ICAP,0000ICA001,74923,Sarah,Miller,sarah.miller@212-994-7400,301-232-7366,,Multi-Asset,6,75000000,Y,Y,2001-06-08
1627,9244416,LPL,0000LPL001,28035,Nancy,Williams,nancy.williams@858-450-9606,281-679-1994,,Multi-Asset,3,20000000,N,Y,2011-12-02
1651,2180916,MER,0000MER001,85880,Nancy,Wilson,nancy.wilson@212-449-1000,511-279-4537,"CFP,CFA",Private Equity,19,5000000,Y,Y,2007-09-13
1653,5173551,NPC,0000NPC001,57795,Robert,Miller,robert.miller@602-224-2000,783-840-3931,"CFP,CFA",Multi-Asset,19,200000000,N,Y,2003-11-19
1659,8165129,LPL,0000LPL001,95426,Barbara,Harris,barbara.harris@858-450-9606,306-370-3955,"CFP,CFA",Institutional Sales,25,200000000,Y,Y,2021-03-18
1660,6446792,ICAP,0000ICA001,89076,Nancy,Harris,nancy.harris@212-994-7400,580-622-8054,,Retirement Planning,14,30000000,Y,Y,2012-09-24
1672,7662074,CETA,0000CET001,70648,William,Thomas,william.thomas@800-245-0467,200-943-1567,"CFP,CIMA",Alternative Investments,17,75000000,Y,Y,2009-01-10
1674,5629792,MS,0000MOR001,83874,Jennifer,Miller,jennifer.miller@212-761-4000,766-723-3534,CIMA,Alternative Investments,13,5000000,N,Y,2011-03-05
1681,4908993,NPC,0000NPC001,81046,William,Thomas,william.thomas@602-224-2000,462-507-2505,"CPWA,CFP",Institutional Sales,21,20000000,Y,Y,2002-12-11
1697,2599943,SII,0000SII001,79226,Jessica,Garcia,jessica.garcia@314-342-2000,809-857-5921,CFP,Institutional Sales,18,250000000,Y,Y,2001-06-12
1699,4803691,OSAIC,0000OSA001,26539,Susan,White,susan.white@770-980-4400,965-868-1187,,Alternative Investments,6,300000000,Y,Y,2016-01-11
1797,9428900,OSAIC,0000OSA001,68515,Karen,Robinson,karen.robinson@770-980-4400,914-426-3509,CFP,Institutional Sales,7,30000000,N,Y,2019-10-17
1807,7615632,SCHW,0000SCH001,41139,Michael,Davis,michael.davis@415-667-7000,351-335-6507,CIMA,Private Wealth,16,25000000,Y,Y,2017-07-09
1841,3187332,SII,0000SII001,34164,Michael,Jackson,michael.jackson@314-342-2000,980-338-8879,"CFP,CFA",Retirement Planning,19,50000000,N,Y,2012-11-19
1858,9795418,LPL,0000LPL001,44782,Robert,Young,robert.young@858-450-9606,452-448-2173,"CFP,CIMA",Institutional Sales,22,250000000,Y,Y,2021-10-03
1878,6843636,SII,0000SII001,85631,Patricia,White,patricia.white@314-342-2000,395-528-6644,"CPWA,CFP",Alternative Investments,16,30000000,Y,Y,2005-06-20
1885,1752920,CNTS,0000CNT001,64146,Thomas,Lewis,thomas.lewis@800-237-0081,439-404-7124,CPWA,Private Equity,7,75000000,Y,Y,2001-04-20
1893,2866934,UBS,0000UBS001,30131,David,Taylor,david.taylor@212-713-2000,512-660-8719,CFP,Family Office Services,3,30000000,Y,Y,2017-04-07
1894,9103837,CETA,0000CET001,29484,Karen,Thompson,karen.thompson@800-245-0467,837-947-3315,CFP,Institutional Sales,27,25000000,Y,Y,2008-03-02
1920,5551347,ICAP,0000ICA001,87518,Mary,Miller,mary.miller@212-994-7400,254-676-1136,CIMA,Institutional Sales,28,250000000,Y,Y,2021-11-12
1945,7484783,OSAIC,0000OSA001,83912,Patricia,Smith,patricia.smith@770-980-4400,436-589-9331,CIMA,Family Office Services,12,200000000,N,Y,2019-09-03
1950,1360516,MS,0000MOR001,51079,Lisa,Miller,lisa.miller@212-761-4000,240-453-9673,"CFP,CIMA",Family Office Services,19,75000000,N,Y,2012-12-06
2013,6962255,CNTS,0000CNT001,29773,James,Thomas,james.thomas@800-237-0081,840-509-4869,"CFP,CFA",Ultra High Net Worth,24,30000000,Y,Y,2020-05-13
2122,3545240,CNTS,0000CNT001,34356,James,Young,james.young@800-237-0081,549-602-3248,CIMA,Institutional Sales,11,20000000,Y,Y,2013-04-19
2160,6524481,MER,0000MER001,53309,David,White,david.white@212-449-1000,659-755-3158,CFA,Wealth Management,12,150000000,Y,Y,2004-05-23
2166,3435253,RJ,0000RAJ001,17035,Charles,Jones,charles.jones@firm.com,871-778-3589,,Private Equity,16,300000000,Y,Y,2005-06-27
2193,7946441,OSAIC,0000OSA001,90120,David,Smith,david.smith@770-980-4400,621-510-8258,"CFP,CIMA",Wealth Management,27,30000000,Y,Y,2003-03-06
2195,4874049,MS,0000MOR001,71736,James,Lewis,james.lewis@212-761-4000,810-437-4783,CFP,Family Office Services,22,25000000,Y,Y,2015-03-17
2204,7273997,MS,0000MOR001,42302,Nancy,Martin,nancy.martin@212-761-4000,388-596-9051,,Wealth Management,25,200000000,Y,Y,2006-04-02
2215,4733840,OSAIC,0000OSA001,23726,Susan,Smith,susan.smith@770-980-4400,960-887-4323,CFA,Private Equity,11,50000000,Y,Y,2014-10-16
2292,7792537,CNTS,0000CNT001,47230,Richard,Harris,richard.harris@800-237-0081,994-242-7232,,Institutional Sales,10,50000000,Y,Y,2016-02-15
2293,7637254,CETA,0000CET001,49171,Thomas,Johnson,thomas.johnson@800-245-0467,952-240-7347,"CFP,CFA",Alternative Investments,10,100000000,Y,Y,2009-08-13
2335,8087739,CETA,0000CET001,53694,Mary,Taylor,mary.taylor@800-245-0467,501-827-1893,"CFP,CFA",Wealth Management,17,15000000,N,Y,2020-08-03
2336,3270069,VSR,0000VSR001,98338,Charles,Brown,charles.brown@918-663-1414,602-623-6299,,Alternative Investments,8,300000000,Y,Y,2014-10-23
2341,6437072,FIDO,0000FID001,43065,Robert,Harris,robert.harris@800-343-3548,908-864-3686,CIMA,Private Equity,5,25000000,Y,Y,2014-11-12
2354,9584338,SCHW,0000SCH001,32463,Michael,Thompson,michael.thompson@415-667-7000,826-363-7204,"CFP,CFA",Institutional Sales,25,50000000,Y,Y,2005-06-19
2376,1860847,SII,0000SII001,58790,David,Garcia,david.garcia@314-342-2000,629-515-6071,,Ultra High Net Worth,7,15000000,Y,Y,2003-03-07
2388,1204812,CETA,0000CET001,26901,James,Lewis,james.lewis@800-245-0467,669-709-9169,"CFP,CFA",Alternative Investments,27,25000000,N,Y,2007-04-19
2392,2332193,CAIS,0000CAI001,80373,Jessica,Harris,jessica.harris@212-300-9350,815-814-1107,CFA,Multi-Asset,16,75000000,Y,Y,2019-11-18
2402,1923819,LPL,0000LPL001,97080,Robert,Johnson,robert.johnson@858-450-9606,868-557-1601,CPWA,Alternative Investments,8,15000000,Y,Y,2010-02-02
2442,5771113,ICAP,0000ICA001,74169,Patricia,White,patricia.white@212-994-7400,825-876-3906,,Family Office Services,8,15000000,Y,Y,2002-05-11
2443,8169304,MER,0000MER001,57428,Barbara,Jackson,barbara.jackson@212-449-1000,763-266-5797,,Wealth Management,5,300000000,Y,Y,2008-06-17
2475,4507293,LPL,0000LPL001,29548,Susan,Thompson,susan.thompson@858-450-9606,826-259-2790,"CPWA,CFP",Multi-Asset,9,250000000,Y,Y,2015-12-23
2476,6309796,CETA,0000CET001,27224,Nancy,Taylor,nancy.taylor@800-245-0467,465-738-6797,CPWA,Private Wealth,16,150000000,N,Y,2015-03-20
2478,2983186,UBS,0000UBS001,14975,Jennifer,Taylor,jennifer.taylor@212-713-2000,224-676-2932,CFA,Institutional Sales,9,5000000,N,Y,2001-06-12
2524,4375360,CAIS,0000CAI001,46677,Karen,Miller,karen.miller@212-300-9350,906-488-5168,CIMA,Ultra High Net Worth,3,200000000,Y,Y,2016-09-11
2548,6727097,CETA,0000CET001,53213,James,Brown,james.brown@800-245-0467,605-941-1477,CPWA,Retirement Planning,24,30000000,Y,Y,2010-11-16
2560,9078154,NPC,0000NPC001,78564,Jessica,Johnson,jessica.johnson@602-224-2000,359-842-8546,"CFP,CFA",Family Office Services,23,15000000,N,Y,2013-12-02
2565,6293259,CNTS,0000CNT001,21128,Charles,Taylor,charles.taylor@800-237-0081,768-748-1306,CFA,Family Office Services,21,250000000,Y,Y,2002-03-09
2582,9963616,CNTS,0000CNT001,66606,James,Anderson,james.anderson@800-237-0081,369-784-7382,CPWA,Private Equity,15,200000000,Y,Y,2010-12-02
2584,4986975,SCHW,0000SCH001,26864,William,White,william.white@415-667-7000,580-662-5958,CFA,Multi-Asset,5,75000000,Y,Y,2005-02-12
2589,9489182,LPL,0000LPL001,36171,Sarah,Miller,sarah.miller@858-450-9606,225-694-9192,CPWA,Retirement Planning,5,75000000,Y,Y,2015-12-28
2591,3404091,CETA,0000CET001,92345,Charles,Taylor,charles.taylor@800-245-0467,987-300-9456,CPWA,Retirement Planning,27,30000000,Y,Y,2014-07-23
2599,1738700,RJ,0000RAJ001,72411,Charles,Brown,charles.brown@firm.com,903-808-2426,,Private Wealth,3,25000000,Y,Y,2003-09-25
2631,6236888,MS,0000MOR001,16021,Mary,Smith,mary.smith@212-761-4000,854-414-6257,CFA,Retirement Planning,21,300000000,Y,Y,2008-09-11
2646,3642344,VSR,0000VSR001,21362,Thomas,Brown,thomas.brown@918-663-1414,480-317-1249,"CPWA,CFP",Multi-Asset,11,15000000,Y,Y,2006-09-12
2655,5752443,SII,0000SII001,86810,Karen,Anderson,karen.anderson@314-342-2000,787-450-3806,CIMA,Ultra High Net Worth,11,15000000,Y,Y,2017-08-02
2659,1846511,LPL,0000LPL001,17019,David,Smith,david.smith@858-450-9606,308-592-1881,CIMA,Institutional Sales,18,200000000,N,Y,2005-12-20
2679,6241884,CETA,0000CET001,28289,Christopher,Harris,christopher.harris@800-245-0467,540-402-9740,CIMA,Private Wealth,22,30000000,Y,Y,2002-12-15
2684,8808058,CAIS,0000CAI001,40968,Patricia,Harris,patricia.harris@212-300-9350,681-437-4666,CPWA,Ultra High Net Worth,12,200000000,Y,Y,2012-03-23
2685,1507747,FIDO,0000FID001,43438,Richard,Anderson,richard.anderson@800-343-3548,266-686-2849,,Private Wealth,17,75000000,N,Y,2005-05-25
2698,9521981,RJ,0000RAJ001,41604,Barbara,Lewis,barbara.lewis@firm.com,305-615-2752,,Multi-Asset,21,15000000,Y,Y,2009-09-15
2703,5088457,FIDO,0000FID001,50306,Joseph,Robinson,joseph.robinson@800-343-3548,761-362-8903,,Private Equity,16,20000000,Y,Y,2006-12-19
2718,6741177,SCHW,0000SCH001,64896,Susan,White,susan.white@415-667-7000,757-910-4869,CPWA,Private Equity,21,300000000,N,Y,2003-10-20
2731,8469488,UBS,0000UBS001,30369,Thomas,Anderson,thomas.anderson@212-713-2000,380-515-7648,CIMA,Private Equity,20,10000000,N,Y,2010-08-21
2770,1003092,LPL,0000LPL001,43640,Sarah,Williams,sarah.williams@858-450-9606,975-350-3444,,Multi-Asset,9,15000000,Y,Y,2012-10-19
2776,6311628,LPL,0000LPL001,15014,Thomas,Miller,thomas.miller@858-450-9606,506-783-5989,,Family Office Services,9,200000000,Y,Y,2018-01-20
2789,2047075,ICAP,0000ICA001,27992,Charles,Jackson,charles.jackson@212-994-7400,578-762-1870,CFP,Multi-Asset,7,25000000,Y,Y,2003-05-28
2800,7614724,CAIS,0000CAI001,14138,James,Davis,james.davis@212-300-9350,840-525-7271,,Institutional Sales,16,250000000,N,Y,2017-04-22
2816,7452434,UBS,0000UBS001,18232,Lisa,Martin,lisa.martin@212-713-2000,568-627-3527,"CFP,CIMA",Wealth Management,7,20000000,Y,Y,2000-02-21
2821,8327199,LPL,0000LPL001,65476,James,Jones,james.jones@858-450-9606,339-286-3248,,Private Wealth,26,75000000,N,Y,2019-03-15
2843,7454441,CAIS,0000CAI001,64997,Charles,White,charles.white@212-300-9350,563-431-4044,,Alternative Investments,20,75000000,N,Y,2007-12-17
2865,7156735,FIDO,0000FID001,33969,William,White,william.white@800-343-3548,234-238-8917,,Private Equity,20,150000000,N,Y,2002-03-24
2868,2312558,VSR,0000VSR001,76910,Charles,Wilson,charles.wilson@918-663-1414,735-824-2449,CFA,Private Wealth,17,100000000,Y,Y,2021-11-18
2874,6763748,FIDO,0000FID001,22999,Christopher,Taylor,christopher.taylor@800-343-3548,747-997-1176,,Private Wealth,22,5000000,N,Y,2018-12-11
2880,5852112,CETA,0000CET001,65723,Susan,Thomas,susan.thomas@800-245-0467,371-236-5981,"CPWA,CFP",Ultra High Net Worth,28,25000000,Y,Y,2020-08-19
2886,5894806,SII,0000SII001,54396,Lisa,Robinson,lisa.robinson@314-342-2000,955-839-1447,"CFP,CIMA",Private Wealth,4,200000000,Y,Y,2004-09-03
2891,5713926,CETA,0000CET001,44664,William,Wilson,william.wilson@800-245-0467,481-463-1232,CIMA,Wealth Management,7,150000000,Y,Y,2021-08-12
2897,4962709,NPC,0000NPC001,16322,Lisa,Wilson,lisa.wilson@602-224-2000,696-385-9640,CFP,Family Office Services,28,250000000,Y,Y,2004-10-27
2931,7428475,VSR,0000VSR001,51049,David,Martin,david.martin@918-663-1414,443-876-8211,CPWA,Retirement Planning,27,50000000,Y,Y,2001-11-09
2944,7689827,ICAP,0000ICA001,51426,Patricia,Johnson,patricia.johnson@212-994-7400,687-508-8803,"CFP,CFA",Retirement Planning,8,75000000,N,Y,2021-12-13
2983,8293631,NPC,0000NPC001,99687,Jessica,Wilson,jessica.wilson@602-224-2000,212-495-8353,,Family Office Services,7,100000000,Y,Y,2003-09-21
3002,5573311,VSR,0000VSR001,97819,Barbara,White,barbara.white@918-663-1414,543-476-5375,CIMA,Ultra High Net Worth,22,200000000,N,Y,2014-11-24
3060,9723352,UBS,0000UBS001,79822,Jennifer,Robinson,jennifer.robinson@212-713-2000,545-893-3947,,Multi-Asset,27,20000000,Y,Y,2021-01-27
3068,9812472,CETA,0000CET001,14561,Michael,Smith,michael.smith@800-245-0467,306-901-8306,,Retirement Planning,16,10000000,Y,Y,2008-04-02
3112,4637715,LPL,0000LPL001,50906,James,Lewis,james.lewis@858-450-9606,813-853-2995,CIMA,Private Equity,5,5000000,Y,Y,2012-11-25
3141,4091420,MS,0000MOR001,67014,Christopher,Garcia,christopher.garcia@212-761-4000,459-501-8650,CIMA,Private Wealth,6,250000000,Y,Y,2013-12-22
3142,2241464,NPC,0000NPC001,62260,Richard,Wilson,richard.wilson@602-224-2000,483-995-2022,,Institutional Sales,8,300000000,Y,Y,2001-05-27
3165,9249722,CETA,0000CET001,65353,William,Garcia,william.garcia@800-245-0467,405-824-7432,CPWA,Private Wealth,17,10000000,Y,Y,2004-09-25
3167,2782574,UBS,0000UBS001,72140,Susan,Miller,susan.miller@212-713-2000,652-932-5243,CIMA,Alternative Investments,22,200000000,Y,Y,2002-10-24
3170,3497360,MER,0000MER001,23399,William,Harris,william.harris@212-449-1000,868-855-1014,CFP,Institutional Sales,3,75000000,Y,Y,2004-12-11
3219,9232235,VSR,0000VSR001,24021,Joseph,Robinson,joseph.robinson@918-663-1414,689-646-7617,CIMA,Multi-Asset,3,100000000,Y,Y,2000-07-23
3222,7021650,SII,0000SII001,62872,Jessica,Brown,jessica.brown@314-342-2000,541-898-5961,,Alternative Investments,21,100000000,Y,Y,2011-09-28
3281,5864699,NPC,0000NPC001,31755,Richard,Williams,richard.williams@602-224-2000,863-407-3893,"CFP,CFA",Alternative Investments,17,300000000,N,Y,2021-04-10
3293,7027401,CETA,0000CET001,32185,Joseph,Brown,joseph.brown@800-245-0467,698-286-8175,CFA,Wealth Management,23,250000000,Y,Y,2006-01-24
3295,2056840,VSR,0000VSR001,17398,Christopher,Davis,christopher.davis@918-663-1414,753-858-6041,,Multi-Asset,18,50000000,N,Y,2000-01-11
3320,1718308,FIDO,0000FID001,86888,Sarah,Anderson,sarah.anderson@800-343-3548,615-321-4468,"CFP,CFA",Private Wealth,28,250000000,Y,Y,2018-04-03
3321,1319824,FIDO,0000FID001,25213,Sarah,Jones,sarah.jones@800-343-3548,682-833-1750,CFA,Wealth Management,18,200000000,Y,Y,2005-11-02
3328,3863692,UBS,0000UBS001,56095,Mary,Brown,mary.brown@212-713-2000,805-265-2742,CIMA,Private Wealth,17,150000000,Y,Y,2002-04-14
3340,3304005,CNTS,0000CNT001,94092,Richard,Jackson,richard.jackson@800-237-0081,529-418-1746,"CPWA,CFP",Wealth Management,13,10000000,Y,Y,2002-02-09
3344,7206350,NPC,0000NPC001,86435,David,White,david.white@602-224-2000,766-368-8187,CFA,Alternative Investments,8,250000000,Y,Y,2003-11-20
3369,2354300,VSR,0000VSR001,69871,Joseph,Garcia,joseph.garcia@918-663-1414,206-207-3939,CIMA,Ultra High Net Worth,3,75000000,N,Y,2015-12-05
3390,9775941,CETA,0000CET001,74634,Robert,Jones,robert.jones@800-245-0467,661-621-4919,CPWA,Alternative Investments,23,25000000,Y,Y,2015-10-03
3415,4953366,CNTS,0000CNT001,84905,Mary,Thomas,mary.thomas@800-237-0081,396-320-9686,CIMA,Family Office Services,16,5000000,Y,Y,2014-11-22
3417,2890441,SII,0000SII001,53064,Robert,Wilson,robert.wilson@314-342-2000,352-901-8772,,Wealth Management,4,20000000,Y,Y,2021-01-02
3439,5217486,CAIS,0000CAI001,78732,Barbara,Taylor,barbara.taylor@212-300-9350,542-831-8424,CFP,Private Equity,9,50000000,Y,Y,2017-03-06
3474,2188825,SII,0000SII001,18908,James,Martin,james.martin@314-342-2000,440-938-8287,"CPWA,CFP",Family Office Services,19,10000000,N,Y,2006-12-22
3500,6471590,SCHW,0000SCH001,59060,Richard,Davis,richard.davis@415-667-7000,433-300-4884,,Retirement Planning,27,10000000,N,Y,2007-02-16
3513,3431711,UBS,0000UBS001,89310,Christopher,Martin,christopher.martin@212-713-2000,421-824-8454,CPWA,Institutional Sales,4,50000000,Y,Y,2004-08-24
3531,6635321,MS,0000MOR001,86983,Robert,Thomas,robert.thomas@212-761-4000,330-232-1977,"CFP,CIMA",Wealth Management,11,20000000,Y,Y,2014-08-14
3532,3630468,UBS,0000UBS001,91351,Lisa,Anderson,lisa.anderson@212-713-2000,853-826-3784,"CPWA,CFP",Multi-Asset,10,25000000,Y,Y,2002-07-28
