notice_id,capital_call_id,commitment_id,investor_id,fund_id,feeder_id,offering_id,call_number,call_date,due_date,committed_amount_usd,call_percentage,call_amount_usd,equalization_amount_usd,total_due_usd,payment_status,payment_date,payment_reference,bank_account,unfunded_commitment_usd,cumulative_called_pct
CCN-00001,FUND-ABF-IX-CC1,COMM-0005,INV-0011,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,267662409.0,30.0,80298722.7,3211948.91,83510671.61,Paid,2021-09-25,WIRE-000001,BOFA-223344556,187363686.3,30.0
CCN-00002,FUND-ABF-IX-CC1,COMM-0035,INV-0070,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,58234717.0,30.0,17470415.1,698816.6,18169231.700000003,Paid,2021-09-25,WIRE-000002,CITI-334455667,40764301.9,30.0
CCN-00003,FUND-ABF-IX-CC1,COMM-0036,INV-0074,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,259143749.0,30.0,77743124.7,3109724.99,80852849.69,Paid,2021-09-25,WIRE-000003,CITI-334455667,181400624.3,30.0
CCN-00004,FUND-ABF-IX-CC1,COMM-0040,INV-0085,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,254736712.0,30.0,76421013.6,0.0,76421013.6,Paid,2021-09-25,WIRE-000004,JPMC-445566778,178315698.4,30.0
CCN-00005,FUND-ABF-IX-CC1,COMM-0047,INV-0098,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,310386530.0,30.0,93115959.0,3724638.36,96840597.36,Paid,2021-09-25,WIRE-000005,JPMC-445566778,217270571.0,30.0
CCN-00006,FUND-ABF-IX-CC1,COMM-0054,INV-0108,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,86348542.0,30.0,25904562.6,1036182.5,26940745.1,Paid,2021-09-25,WIRE-000006,BOFA-223344556,60443979.4,30.0
CCN-00007,FUND-ABF-IX-CC1,COMM-0069,INV-0143,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,221826942.0,30.0,66548082.6,0.0,66548082.6,Paid,2021-09-25,WIRE-000007,JPMC-445566778,155278859.4,30.0
CCN-00008,FUND-ABF-IX-CC1,COMM-0072,INV-0147,FUND-ABF-IX,FUND-ABF-IX-OFF,FUND-ABF-IX-OFF-A,1,2021-09-15,2021-09-25,205177881.0,30.0,61553364.3,0.0,61553364.3,Paid,2021-09-25,WIRE-000008,JPMC-445566778,143624516.7,30.0
CCN-00009,FUND-ABF-IX-CC1,COMM-0090,INV-0198,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,58176154.0,30.0,17452846.2,0.0,17452846.2,Paid,2021-09-25,WIRE-000009,BOFA-223344556,40723307.8,30.0
CCN-00010,FUND-ABF-IX-CC1,COMM-0108,INV-0144,FUND-ABF-IX,FUND-ABF-IX-DOM,FUND-ABF-IX-DOM-A,1,2021-09-15,2021-09-25,202336848.0,30.0,60701054.4,0.0,60701054.4,Paid,2021-09-25,WIRE-000010,CITI-334455667,141635793.6,30.0
