src_member_id,src_team_id,source,first_name,last_name,email,phone,title,is_lead,firm_name,city,state
SRB_M0000001,SRB0000001,Discovery,Nancy,Anderson,nancy.anderson@merrlync.net,804.632.1520,Managing Director,True,Merrill Lynch,Phoenix,AZ
SRB_M0000002,SRB0000002,Discovery,Susan,Sanchez,susan.sanchez@stewpart.net,206-977-3615,Executive Director,True,Steward Partners,Las Vegas,NV
SRB_M0000003,SRB0000002,Discovery,Donald,Taylor,taylord@stewpart.com,784.696.3165,Assistant Vice President,False,Steward Partners,Las Vegas,NV
SRB_M0000004,SRB0000002,Discovery,Joseph,Jackson,jacksonj@stewpart.com,+14408948419,Executive Director,False,Steward Partners,Las Vegas,NV
SRB_M0000005,SRB0000003,Discovery,Maggie,Robinson,mrobinson@pipesand.com,3598493260,Senior Portfolio Manager,False,Piper Sandler,Pittsburgh,PA
SRB_M0000006,SRB0000003,Discovery,Mike,Henderson,mhenderson@pipesand.com,560-342-2001,Wealth Advisor,False,Piper Sandler,Pittsburgh,PA
SRB_M0000007,SRB0000003,Discovery,Steph,Anderson,steph.anderson@pipesand.net,231-972-9589,Financial Advisor,False,Piper Sandler,Pittsburgh,PA
SRB_M0000008,SRB0000004,Discovery,Sharon,Campbell,sharon.campbell@dynapart.net,4962814814,Managing Director,True,Dynasty Financial Partners,Los Angeles,CA
SRB_M0000009,SRB0000004,Discovery,Sharon,Brown,sbrown@dynapart.com,595-979-9121,Portfolio Manager,False,Dynasty Financial Partners,Los Angeles,CA
SRB_M0000010,SRB0000004,Discovery,Sandy,Coleman,scoleman@dynapart.com,6735454082,Managing Director,False,Dynasty Financial Partners,Los Angeles,CA
SRB_M0000011,SRB0000004,Discovery,Don,Peterson,dpeterson@dynapart.com,6023968935,Portfolio Manager,False,Dynasty Financial Partners,Los Angeles,CA
SRB_M0000012,SRB0000005,Discovery,Chris,Mitchell,chris.mitchell@jannmontsc.net,,Senior Vice President,True,Janney Montgomery Scott,Chicago,IL
SRB_M0000013,SRB0000005,Discovery,Kathleen,Evans,evansk@jannmontsc.com,948.502.3382,Vice President,False,Janney Montgomery Scott,Chicago,IL
SRB_M0000014,SRB0000006,Discovery,Charlie,King,kingc@raymjame.com,424.341.9348,Senior Vice President,True,Raymond James,Salt Lake City,UT
SRB_M0000015,SRB0000006,Discovery,Karen,Lopez,,+17952849560,Senior Vice President,False,Raymond James,Salt Lake City,UT
SRB_M0000016,SRB0000007,Discovery,Nancy,Lee,nlee@oppe.com,810.679.9669,Managing Director,True,Oppenheimer & Co,Orlando,FL
SRB_M0000017,SRB0000007,Discovery,Cynthia,Reed,creed@oppe.com,506.526.6392,Assistant Vice President,False,Oppenheimer & Co,Orlando,FL
SRB_M0000018,SRB0000008,Discovery,Sandra,Howard,showard@amer.com,,Senior Vice President,True,Ameriprise Financial,Dallas,TX
SRB_M0000019,SRB0000008,Discovery,Dot,Flores,dot.flores@amer.net,,Portfolio Manager,False,Ameriprise Financial,Dallas,TX
SRB_M0000020,SRB0000008,Discovery,Rebecca,Johnson,johnsonr@amer.com,224-457-2816,Senior Vice President,False,Ameriprise Financial,Dallas,TX
SRB_M0000021,SRB0000008,Discovery,Daniel,Gonzales,gonzalesd@amer.com,405-424-7334,Associate,False,Ameriprise Financial,Dallas,TX
SRB_M0000022,SRB0000008,Discovery,Ronald,Bryant,rbryant@amer.com,649-989-3287,Financial Advisor,False,Ameriprise Financial,Dallas,TX
SRB_M0000023,SRB0000009,Discovery,Deborah,Henderson,dhenderson@highadvi.com,(980) 365-9837,Senior Vice President,True,Hightower Advisors,Boston,MA
SRB_M0000024,SRB0000009,Discovery,Susan,Carter,scarter@highadvi.com,,Wealth Advisor,False,Hightower Advisors,Boston,MA
SRB_M0000025,SRB0000009,Discovery,Sharon,Bennett,sharon.bennett@highadvi.net,+13287028724,Executive Director,False,Hightower Advisors,Boston,MA
