src_team_id,source,team_name,firm_name,crd_number,lead_first_name,lead_last_name,lead_email,lead_phone,address,city,state,zip,aum_millions
SRC0000001,Bloomberg,The Sanchez Capital Group LLC,Steward Partners,5667265,Susan,Sanchez,sanchezs@stewpart.com,+12069773615,"6925 River Ln, Suite 3227, Las Vegas, NV, 89101",Las Vegas,NV,89101-9021,1718.3
SRC0000002,Bloomberg,Mitchell Private Wealth Group,Janney Montgomery Scott,5107245,Christopher,Mitchell,,367-673-7216,"4423 Liberty Ct, Suite 1428, Chicago, IL, 60601",Chicago,IL,60601,133.1
SRC0000003,Bloomberg,The Lee Financial Group,Oppenheimer & Co,7402509,Nancy,Lee,nlee@oppe.com,810.679.9669,"4120 Commerce St, Orlando, FL, 32801",Orlando,FL,32801,462.5
SRC0000004,Bloomberg,The Henderson Financial Group,Hightower Advisors,7273233,Deborah,Henderson,deborah.henderson@highadvi.net,980-365-9837,"8690 Main Rd, Suite 558, Boston, MA, 02134",Boston,MA,0213,514.9
SRC0000005,Bloomberg,Ward & Associates,Raymond James,,Anthony,Ward,award@raymjame.com,+16163942545,,Phoenix,AZ,85001,400.9
SRC0000006,Bloomberg,Smith Investment Group LLC,Piper Sandler,9164991,Edward,Smith,smithe@pipesand.com,3583945861,"3567 Oak Ct, Suite 1384, Minneapolis, MN, 55401",Minneapolis,MN,55401,24.3
SRC0000007,Bloomberg,The Kelly Advisory Group,Rockefeller Capital Management,,Michael,Kelly,mkelly@rockcapi.com,2823902122,"9750 Pine Dr, Suite 3956, Los Angeles, CA, 90025",Los Angeles,CA,90025-4444,998.5
SRC0000008,Bloomberg,The Kelly & Associates,HighTower,6307805,Donald,Kelly,dkelly@high.com,467-409-6147,"3911 Lake Way, Suite 2743, San Diego, CA, 92101",San Diego,CA,92101-5685,98.2
SRC0000009,Bloomberg,The Young Investment Group LLC,Janney Montgomery Scott,9874152,Sharon,Young,sharon.young@jannmontsc.net,,"1698 Cedar Ln, Suite 538, Las Vegas, NV, 89101",Las Vegas,NV,89101,675.9
SRC0000010,Bloomberg,The Wright Financial Group,Stifel Financial,,Charles,Wright,wrightc@stif.com,(903) 849-5325,"8281 Broadway Ln, Cleveland, OH, 44101",Cleveland,OH,44101,50.7
SRC0000011,Bloomberg,The Jones Financial Group LLC,Janney Montgomery Scott,3138181,Barbara,Jones,jonesb@jannmontsc.com,242.515.6974,"654 Sunset Dr, Portland, OR, 97201",Portland,OR,97201,276.4
SRC0000012,Bloomberg,The Gray Financial Group,Oppenheimer & Co,3970445,Brian,Gray,bgray@oppe.com,(622) 225-3938,"5443 Jefferson Dr, Suite 3325, Phoenix, AZ, 85001",Phoenix,AZ,85001,2185.6
SRC0000013,Bloomberg,The Jones Private Wealth Group,Rockefeller Capital Management,6866294,Edward,Jones,ejones@rockcapi.com,512-433-4652,"388 Washington Way, Suite 3640, Baltimore, MD, 21201",Baltimore,MD,21201,24.6
SRC0000014,Bloomberg,Edwards & Associates,UBS Financial Services,6038571,George,Edwards,gedwards@ubs.com,,"5345 Madison Ln, Suite 885, Milwaukee, WI, 53201",Milwaukee,WI,53201-6859,94.8
SRC0000015,Bloomberg,The Reed Wealth Advisors,Edward Jones,6623525,Jennifer,Reed,jreed@edwajone.com,295-969-4848,"5086 Park Dr, Suite 289, Minneapolis, MN, 55401",Minneapolis,MN,55401,43.7
SRC0000016,Bloomberg,Wood Family Wealth Group,UBS Financial Services,4262081,Mary,Wood,woodm@ubs.com,935.913.7291,"8100 Madison Dr, Suite 2916, Cincinnati, OH, 45201",Cincinnati,OH,45201,214.2
SRC0000017,Bloomberg,Price Asset Management Group,Baird,9468772,Susan,Price,prices@bair.com,636.761.8305,"2608 Broadway Pl, Suite 1112, Milwaukee, WI, 53201",Milwaukee,WI,53201-3978,3787.2
SRC0000018,Bloomberg,Ramirez & Associates,UBS Financial Services,8816912,Dorothy,Ramirez,dorothy.ramirez@ubs.net,,"6884 Madison St, Cleveland, OH, 44101",Cleveland,OH,44101,481.3
SRC0000019,Bloomberg,Cook & Associates,Merrill Lynch,8030010,Edward,Cook,edward.cook@merrlync.net,7519659947,"9884 Park Pl, Suite 1885, Orlando, FL, 32801",Orlando,FL,32801,1443.8
SRC0000020,Bloomberg,Morgan Wealth Management Group LLC,Edward Jones,6662319,Rebecca,Morgan,rebecca.morgan@edwajone.net,(979) 588-5558,"6907 Lake Ave, Suite 3168, Orlando, FL, 32801",Orlando,FL,32801,124.4
SRC0000021,Bloomberg,The Butler & Associates,LPL Financial,6059717,Ronald,Butler,butlerr@lpl.com,,"9273 Oak Rd, Suite 2809, Houston, TX, 77001",Houston,TX,77001,981.6
SRC0000022,Bloomberg,Walker Wealth Advisors,Rockefeller Capital Management,1289293,Susan,Walker,walkers@rockcapi.com,295.501.4630,"6626 Park Ln, Las Vegas, NV, 89101",Las Vegas,NV,89101,1117.9
